Region,Country,Year,"Workers enjoying special protection","General remarks"
Europe,Georgia,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, confirmed injured workers, older workers/workers on the verge of retirement, workers performing military/alternative service, workers on temporary leave following an occupational disease or a work injury, workers holding an elected position or discharging a public function","Article 36 establishes the situations in which employment contract can be suspended:<br/>a) a strike;<br/>b) a lockout;<br/>c) exercising active and/or passive suffrage;<br/>d) appearance before an investigative, prosecuting, or judicial body in the cases provided for by the procedural legislation of Georgia;<br/>e) call to compulsory military service;<br/>f) call to military reserve service;<br/>g) maternity and child care leave, a new-born adoption leave of absence, or a child care additional leave of absence;<br/>h) placing a victim of violence against women and/or domestic violence in a shelter and/or a crisis centre for a maximum of 30 calendar days annually, if he/she is unable to discharge his/her official duties anymore;<br/>i) temporary disability, unless the disability period exceeds 40 consecutive calendar days, or the total disability period exceeds 60 calendar days in six months;<br/>j) qualification upgrading, professional training, or education not exceeding 30 calendar days annually;<br/>k) unpaid leave of absence;<br/>l) paid leave of absence. <br/><br/><br/>Article 37 (3) Terminating labour relations shall be inadmissible:<br/><br/>a) on the grounds other than those laid down in paragraph 1 of this article;<br/>b) on discrimination grounds under Article 2 of this Law;<br/>c) during the period under Article 36(2)(g) of this Law from notification to the employer from a female employee about her pregnancy, except for the grounds under paragraph (1)(b-e, g, h, j, l) of this article;<br/>d) due to an employee being called to compulsory military service or military reserve service and/or during an employee’s period of compulsory military service or military reserve service, except for the grounds under paragraph(1)(b-e, g, h, j, l) of this article;<br/>e) during the period of being a jury in court, except for the grounds under paragraph (1)(b-e, g, h, j, l) of this article. <br/><br/>"
Africa,Ghana,2020,"workers&apos; representatives, pregnant women and/or women on maternity leave, confirmed injured workers, older workers/workers on the verge of retirement, workers performing military/alternative service, workers on temporary leave following an occupational disease or a work injury, workers holding an elected position or discharging a public function","Art 57(8): An employer shall not dismiss a woman worker because of her absence from work on maternity leave. <br/>Art. 12 WA: “A whistleblower shall not be subjected to victimisation by the employer of the whistleblower or by a fellow employee or by another person because a disclosure has been made.” According to Art. 12(2), a whistleblower is subjected to victimisaton if they are dismissed. <br/>"
Europe,Greece,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, confirmed injured workers, older workers/workers on the verge of retirement, workers performing military/alternative service, workers on temporary leave following an occupational disease or a work injury, workers holding an elected position or discharging a public function","The following categories of workers enjoy special protection against dismissal:<br/><br/>* The dismissal of a woman during her pregnancy and up to one year after giving birth is prohibited (Act No. 1302/1982). However, the dismissal can be valid if there is an important reason for it (i.e misconduct, severe negligence, poor performance...) (Art. 15 Act No 1483/1984). Pregnant women and women on maternity leave are also excluded from the redundancy pool (Law 1483/1984, art. 15).<br/><br/>* Members of the trade union Board and the founding members of a trade union cannot be dismissed during the period of their office and one year thereafter (Act No. 1264/1982). However, dismissal is permitted if it is justified by a specific reason indicated in the Law and if it is approved by the Committee for the Protection of Trade Union officials. Concerning workers&apos; representatives, Law 4472/2017 introduces two additional reasons that allow the dismissal of this special category: (a) theft or embezzlement against the employer or its representative; and (b) unjustified absence of the employee which exceeds 3 days.<br/><br/>- Any dismissal which takes place while the employee is performing military duties is null and void (Act No. 3514/1928). <br/>In addition, dismissal is prohibited within one year after the employee returns to work. Such dismissal can however be valid if it is justified by a serious reason and approved by a special committee (art. 7 Emergency Law 244/1936).<br/>- War veterans and members of their family can only be dismissed in accordance with a judicial decision recognizing their incapacity to work.<br/>- Dismissal of a worker who is on annual leave is prohibited and will be considered null and void (Art. 5 and 6, Act 539/45)"
Americas,Guatemala,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, confirmed injured workers, older workers/workers on the verge of retirement, workers performing military/alternative service, workers on temporary leave following an occupational disease or a work injury, workers holding an elected position or discharging a public function","Women in a state of pregnancy or lactation period (art. 151 (c) of Labour Code), workers in formation of a union (art. 209 Labour Code), the members of the Executive Committee of the Union during the exercise up to 12 months after of their mandate has ended (art. 223 (d) Labour Code) and the workers participating in a collective economic and social conflict (art. 380 Labour Code). <br/>The foregoing implies that it is required to process and obtain a judicial or administrative authorization prior to the application of the dismissal.<br/>"
Americas,Honduras,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, confirmed injured workers, older workers/workers on the verge of retirement, workers performing military/alternative service, workers on temporary leave following an occupational disease or a work injury, workers holding an elected position or discharging a public function","- Article 516 of Labour Code: employees who are members of the Board of Directors of a trade union, from their election up to six months after ceasing their duties, enjoy special protection: they can only be dimissed with prior authorization of the Labour judge (the autorization will be only delivered if the employer duly proved the existence of a just cause).<br/>If the employer fails to comply with this requirement, he or she will be liable to pay the 6 months&apos; salary to the trade union organization.<br/>Article 124 of Labour Code provides protection against dismissal of pregnant or breastfeeding women, which will remain until the end of the post-natal rest (3 months after labour) or until a judicial decision declaring the termination of the contract.<br/>Articles 144 and 145 provide rules for termination of employment of pregnant or breastfeeding workers, in which case the employer must to obtain prior authorization from the Labour Inspector (or the mayor). Such authorization to dismiss can only be given if the existence of one of the just causes listed in art. 112 is proven.<br/><br/><br/>"
Europe,Hungary,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, confirmed injured workers, older workers/workers on the verge of retirement, workers performing military/alternative service, workers on temporary leave following an occupational disease or a work injury, workers holding an elected position or discharging a public function","•The LC prohibits the dismissal of specific groups of workers (during pregnancy; during maternity or parental leave, during reserve military service, during the first six month of treatment related to human reproduction procedure) (LC, sec. 63(3)).<br/><br/>•The LC does not completely exclude but restricts the opportunity of the employer to dismiss other specific groups of workers,<br/>-by restricting the valid grounds or requiring the employer to offer another, adequate job before the dismissal, if possible (e.g. in case of workers with family responsibilities, workers with disabilities, elderly workers – LC, sec. 66(4)-(7))<br/>-by extending the period of notice (in case of sick employees or workers taking care of sick/disabled children or other relatives – LC, sec. 68(2))<br/>-by requiring a consent of the supreme body of workers’ representatives to the validity of the dismissal of specific workers’ representatives (LC, sec. 260(3), 273; Act XCIII of 1993 on Labour Safety, sec. 76(3)).<br/><br/>•Workers are protected against discriminatory dismissals on a set of protected characteristics including e.g. pregnancy, national or ethnic origin, colour, race, religion, political opinion, disability, health condition, social situation, adherence to trade union, part-time or fixed-term job (LC, sec. 12, ETA Act, sec. 8).<br/>"
Asia,Indonesia,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, older workers/workers on the verge of retirement, workers with disabilities, workers performing military/alternative service","See: art. 153 c), g), j) and 172 MA."
Asia,India,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, confirmed injured workers, older workers/workers on the verge of retirement, workers performing military/alternative service, workers on temporary leave following an occupational disease or a work injury, workers holding an elected position or discharging a public function","Schedule Five of the IDA <br/>Art. 12 of the Maternity Benefit Act"
Asia,"Iran, Islamic Republic of",2010,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, older workers/workers on the verge of retirement, workers with disabilities, workers performing military/alternative service","No information found in the legislation reviewed."
Europe,Italy,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, older workers/workers on the verge of retirement, workers with disabilities, workers performing military/alternative service","- <b>Workers’ representatives</b>: see Article 15 and Article 18 of Law No. 300 of 1970<br/>- <b>Pregnant women, women on maternity leave, women with family responsibilities</b>: see Legislative Decree 151 of 2001 on the protection of maternity and paternity. According to Article 54, dismissal is prohibited form the beginning of the pregnancy and up to a maximum of one year after the birth of the child.<br/>This prohibition does not however prevent an employer for dismissing a female employee in the event of serious misconduct (just cause) or in case of cessation of the activities of the employer.<br/>- <b>Workers on paternity leave</b> equally benefit from the protection against dismissal (note, however, that, under Italian law, a worker is entitled to paternity leave in limited situations: death of the mother, serious disability or abandonment by the mother or exclusive custody of the child to the father).<br/>- The prohibition of dismissal has also been extended to cover <b>adoption leave</b> (up until one year after the child has entered the family)."
"Arab States",Jordan,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, older workers/workers on the verge of retirement, workers with disabilities, workers performing military/alternative service","Art. 27 LL: The LL prohibits the employer from terminating the employment of a pregnant woman from the sixth month of the employee&apos;s pregnancy or during her maternity leave and of an  employee who is performing military or reserve service.<br/>Art. 97 (B) LL: &quot;The employer shall not make the recruiting of the employee subject to the condition of his/her not joining the trade union, or waiving his/her membership in it, and the employer may not ask the employee to be disengaged from any association, the employer <b>may not prejudice any of the employee&apos;s rights</b> because of his/her membership in any association or contributing in its activities beyond the working hours.&quot;<br/><br/>The ILO 2018 Guide  to Jordanian Labour Law for Garment Industry adds in this respect that: &quot;Employers are prohibited from employing any worker on condition that he is not part of a trade union, relinquishing membership in it, work to dismiss him from any trade union, undermine any of his rights because of trade union membership or contributing to its activities outside working hours. Employers are prohibited from taking any action against the trade union representative because of practicing union activities, including dismissal from work. If the employer takes such action, the labour inspector shall issue a warning on the need to correct the violation within a period not to exceed seven days from the warning. If the violation persists, the labour inspector shall write a report and refer the matter to the competent court. The worker may also claim damages caused because of the action taken against him. If he is dismissed from work, the court may issue a decision to reinstate him along with the payment of full remuneration for the period he was dismissed from work. If the worker is unable to return to work for reasons related to the employer, he may claim additional compensation ranging between 6 and 12 months of remuneration, in addition to compensation for arbitrary dismissal and any other rights due.&quot;"
Asia,Japan,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, older workers/workers on the verge of retirement, workers with disabilities, workers performing military/alternative service","see above"
Europe,Kyrgyzstan,2019,,"Art. 310 LC: special protection against any dismissal, except for economic reasons, for pregnant women and women with family responsibilities.<br/><br/>Art. 84 LC: The employer is not entitled to dismiss any workers&apos; representative without prior approval by the relevant body representing workers of the enterprise."
Asia,Cambodia,2018,,"Sec. 293-295 LC<br/>The dismissal of a shop steward or a candidate for shop steward can take place only after authorization from the Labor Inspector. Protection extended to former shop steward who relinquished their position for less than six months (sec. 282 LC).<br/><br/>Sec. 67 Trade Union Law<br/>All workers who stand as candidates for elected leadership [and] management positions shall enjoy the same protection from victimization and dismissal as shop stewards. Such protection begins 45 (forty-five) days prior to the election and ends 45 (forty-five) days after the election if he or she is not elected. In order to enjoy such protection, the union shall notify the employer of the candidacy and submit a copy to the Ministry in charge of Labor, by any Unofficial Translation Page 25 of 39 certified means. The employer shall only be required to comply with these provisions once for each election of union leadership. <br/><br/>Sec. 182 LC: The employer is prohibited from laying off women during their maternity leave or at a date when the end of the notice period would fall during the maternity leave&quot;. This protection only applies during maternity leave and not the entire pregnancy."
Africa,Comoros,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, workers on temporary leave following an occupational disease or a work injury","- Workers&apos; representatives: article 203 of the Labour Code:  any dismissal of a workers&apos; representative must be approved by the Labour Tribunal. [<u>New in June 2012</u>: the article number has changed in the new LC (former art. 183, now art. 203), and the new LC introduced new provisions:  the new LC provides that the court&apos;s decision must be made within a period of one month].<br/>- Women on maternity leave: article 125 of the Labour Code: no worker can be dismissed during maternity leave. <br/>- In addition, the LC establishes a special protection against dismissal for widows: article 125 (former art. 121) of the Labour Code : any woman who just lost her husband must suspend work for 4 months and 10 days and cannot be dismissed during this period."
Asia,"Korea, Republic of",2019,,"Art. 23 (2) LSA: No employer shall dismiss any worker during a period of temporary interruption of work for medical treatment of an occupational injury or disease and within 30 days thereafter, and any female worker during a period of temporary interruption of work before and after childbirth and within 30 days thereafter. This does not apply in the event of payment of the statutory compensation following an occupational injury or disease or in the event of business closure."
Europe,Kazakhstan,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, older workers/workers on the verge of retirement, workers with disabilities, workers performing military/alternative service","Art. 52 of the Labour Code on the grounds for termination of employment <br/>Art. 54 of the Labour Code prohibits the termination in the cases of temporary incapacity for work, pregnancy, women with children under the age of three, single mothers with a child under the age of fourteen or a disabled child up to the age of eighteen, other persons raising this category of children without a mother-<br/>Art. 6 of the Labour Code on prohibition of discrimination <br/>Art. 175 of the Labour Code on the right to strike"
Americas,"Saint Lucia",2017,"workers&apos; representatives, pregnant women and/or women on maternity leave","Section 153 Labour Act: (6) A notice of termination under subsection (1) shall not be given by an employer during an employee’s period of absence on any leave granted under any enactment force. <br/>(7) for the purpose of subsection (6), leave includes paid annual leave, maternity leave, sick leave, leave for national service, leave for public duty and leave for serious family responsibilities.<br/><br/>See also:<br/>Section 101 LA: An y notice of termination of employment given by an employer to an employee during a vacation leave shall be void and of no effect.<br/>"
Asia,"Sri Lanka",2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, confirmed injured workers","Sec. 10 MBO: &quot;When a woman worker absents herself from work in accordance with the provisions of this Ordinance (= maternity leave), it shall not be lawful for her employer to give her notice of dismissal during such absence or on such a day that the notice will expire during such absence.&quot;<br/>No specific protection for pregnant women and trade union members other than the prohibition to dismiss them only for reasons of pregnancy or trade union membership or activities (see prohibited grounds)."
Africa,Lesotho,2019,,"- Women on maternity leave: Art. 136 LC provides that any dismissal of any employee that takes effect during her statutory maternity leave shall automatically be an unfair dismissal; and where a female employee is absent from work  due to confinement or illness related to pregnancy, or remains absent from work for a longer period as a result of an illness which a medical officer or a registered nurse or midwife has certified in writing to arise in his or her opinion out of the employee&apos;s pregnancy or confinement and to render her unfit to return to work, no employer shall, during the period of her absence from work, give notice to dismiss her or terminate her contract of employment.<br/><br/>- Worker&apos;s representatives, see Codes of good practices Art. 11 (8) : specific discipline procedure (mandatory consultation with the trade union)."
Europe,Luxembourg,2019,,"* Pregnant women /women on maternity leave: prohibition of dismissal: art. L 337-1 LC.<br/>* Workers&apos; representatives: prohibition of dismissal: art. L 415-10 and 415-11 LC.<br/>___________<br/>* Femmes enceintes / femmes en congé de maternité : interdiction de licenciement : art. L 337-1 LC.<br/>* Représentants des travailleurs : interdiction de licenciement : <br/>art. L 415-10 et 415-11 LC."
Africa,Morocco,2019,"workers&apos; representatives","Art. 58 LC: Severance pay is doubled for workers&apos; representatives. <br/>Art. 457 LC: Approval by the labour administration is required in case of a disciplinary dismissal of a workers&apos; representative. <br/>Art. 159 LC: Prohibition to dismiss women during pregnancy and women on maternity leave."
Europe,"Moldova, Republic of",2017,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, workers performing military/alternative service, minors","*Art. 87 LC: dismissal of trade union representative is admitted only with the preliminary consent of the trade union body. <br/>Dismissal of a trade union member on certain grounds requires the preliminary consent of the trade union from the enterprise. In other cases, preliminary consultation with the trade union is required. <br/><br/>*Art. 251 LC: prohibits dismissal of pregnant women, women on maternity leave or child nursing leave and workers who are taking care of children under 6 except in the cases of<br/>enterprise liquidation."
Europe,Montenegro,2020,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, workers performing military/alternative service, minors","See Article 173 provisions on protection against dismissals.<br/>"
Africa,Madagascar,2019,,"- Any dismissal of a workers&apos; representative, a trade union officer or a member of the works council is subject to the authorization of the Labour Inspector (see Arts. 152, 156 and 165 LC).<br/>- As a general rule, pregnant women cannot be dismissed during pregnancy. However dismissal is possible if the pregnant employee commits malpractice which is not connected to her pregnancy: Art. 95 LC.<br/>- Dismissal is prohibited during maternity leave: Art. 97 LC.<br/>"
Europe,"North Macedonia",2017,,"Art. 101 LRA states that the employer shall not dismiss a woman during her pregnancy or while she is on a maternity leave, or during a leave of absence for child care.<br/>This prohibition also applies to fathers on parental or adoption leave.<br/><br/>In addition, art. 200 LRA provides for a protection against dismissal for trade union representatives. A trade union representative can only be dismissed with the prior approval of the trade union. In case the trade union refuses to give approval, such approval can be given by the court. This protection applies during the whole period of the mandate and and at least two years after its expiration."
Asia,Mongolia,2017,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, workers performing military/alternative service, minors","- Art. 100 LC prohibits the dismissal of pregnant women and mothers with children under the age of 3 except in the event of liquidation of the business or in the event of serious misconduct (repeated breach of disciplinary rules or serious breach of the employment contract and loss of trust in an employee responsible for assets or money due to an act or omission). This protection also applies to a single father with a child under the age of 3.<br/>- In addition, the law prohibits the employer from dismissing or otherwise punish elected trade union representatives or elected non-union representatives who participate in a negotiation  but who have not been relieved from their primary duties without obtaining the permission to do so from a competent authority. This protection applies to the entire negotiation process and until 1 year after negotiations have been completed (art. 12.8 LC)."
Africa,Malawi,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, workers performing military/alternative service, minors",
Americas,Mexico,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, workers performing military/alternative service, minors","*Art. 161 FLA: Workers with more than 20 years of service can only be dismissed on of the grounds listed art. 47 (reasons related to the worker&apos;s conduct) provided that such reason is particularly serious or makes it impossible to continue the employment relationship."
Asia,Malaysia,2018,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, workers performing military/alternative service, minors","*Maternity leave and pregnancy: Section 37 (4) has been inserted in the EA in 2012 and it states that dismissing an employee during maternity leave  constitutes an offence (former section 40 (3) EA). Unlike the previous  Section 40 (3) EA (which now has been deleted),  sec. 37 (4) of the amended EA provides that the prohibition of dismissal during maternity leave does not apply to termination on the grounds of the closure of the employer&apos;s business. <br/>Prior to the 2012 amendments the provisions on maternity leave were applicable to female employees depending on their wages. As of April 2012, a new Section 44A has been introduced in the EA, and it states that maternity leave entitlements are now extended to all female employees, irrespective of their wage. <br/>Constitutes also an offence the dismissal of a female employee who remains absent from work after the expiration of the protection period as a result of illness arising out of her pregnancy or confinement (sec. 42 (1) EA).<br/><br/>Special protection for local/national employees:<br/>Sec. 60M EA provides that &quot;no employer shall terminate the contract of service of a <b>local employee</b> for the purpose of employing a foreign employee.&quot;<br/>Sec. 60N EA provides that &quot;where an employer is required to reduce his workforce by reason of redundancy necessitating the retrenchment of any number of employees, the employer shall not terminate the services of a <b>local employee</b> unless he has first terminated the services of all foreign employees employed by him in a capacity similar to that of the local employee.&quot;"
Africa,Mozambique,2019,"workers&apos; representatives","Article 11, d, of Labour Act provides protection against dismissal for women in pregnancy, during the maternity leave, and until 1 years after the child´s birth.<br/>Article 161 (2) provides that an employer shall be prohibited from terminating the employment contract of the members of the trade union associations and trade union committees without just cause, for reasons attributable to the performance of their trade union duties.<br/>Article 229 provides that the worker has the right to compensation for an accident at work or occupational disease requires an effort by the employer to occupy the injured worker in a job compatible with his or her capacity residual. If it is impossible to fit the employee under the terms described in the previous paragraph, the employer may terminate the contract, in which case the employee shall be compensated in accordance with article 128 of the Labour Act. The Decree No 62/2013, in its article 17, provides that dismissal without just cause of the worker temporarily incapacitated as a result of a work-related accident, without prejudice to other rights established by law, if you choose to non-reintegration, the right to compensation equal to that provided for in case of just cause argued by the worker."
Africa,Namibia,2019,"workers&apos; representatives","See sec. 26(5) LA: An employer must not dismiss an employee during her maternity leave or at the expiry of that leave on:<br/>- economic grounds (as listed in sec. 34 on collective dismissal)<br/>- any grounds arising from her pregnancy, delivery, or her resulting family status or responsibility.<br/>The prohibition does not apply if the employer has offered the employee comparable alternative employment; and she has unreasonably refused to accept that offer.<br/>"
Africa,Niger,2019,"workers&apos; representatives","* Workers&apos; representatives: Art. 227-228 new LC: prior authorization of the labour inspectorate required before any dismissal of a workers&apos; representative.<br/><b>New in Sept. 2012</b>:<br/>The LC  introduced new provisions to further protect workers&apos; representatives. Any dismissal of a workers&apos; representative carried out without the prior consent of the labour inspector or despite the application for authorization being rejected /dismissed is null and void and will therefore entail reinstatement of the worker. Under the previous LC reinstatement was not available in such cases. <br/>In addition, the new law establishes a time frame for the authorization procedure:  8 days for the labour inspector&apos;s decision after the filing of the application, extended to twenty one (21) days where expert evaluation is required. <br/>Lastly, the labour inspector&apos;s decision can be appealed before the Minister of Labour and then further before an administrative tribunal. <br/>Article 228 LC: Under certain conditions, this protection extends up to 6 months after the expiration of workers&apos; representatives&apos; mandate; the protection also applies to candidate workers&apos; representatives (under certain conditions).<br/>* See also: Articles 472-475 of the Implementing Decree N° 2017-682/PRN/MET/PS of August 2017 concerning the dismissal of workers&apos; representatives.<br/><br/>* Pregnant women and women on maternity leave: No prohibition of dismissal during pregnancy, but only during maternity leave (14 weeks, incl. 8 weeks after giving birth) under Article 111 LC. <br/>Prohibition of dismissal during pregnancy is included under Article 78 LC (last point). <br/>"
Africa,Nigeria,2020,"workers&apos; representatives","Sec. 54(4) LA prohibits the employer from giving a notice of dismissal to a woman during her maternity leave (6 weeks before the delivery of the child and 6 weeks after). This prohibition also apply to a women who is absent from her work for a longer period as a result of illness certified by a registered medical practitioner to arise out of her pregnancy or confinement and to render her unfit for work.<br/>"
Americas,Nicaragua,2019,"workers&apos; representatives","See articles 144, 231 and 234 of Labour Code."
Europe,Netherlands,2019,"workers&apos; representatives","An employer is prohibited from giving notice:<br/>1) when an employee who is fit to perform the agreed work is pregnant, during her maternity leave or the six weeks following the end of that period (Art.7:670 (2) CC); <br/>2) when an employee is doing military service or performing alternative service (Art. 670 (3) CC); <br/>3) to a member of a works council or any of its committees (Art. 7:670 (4) CC); the ban on terminating Works Council members and/or candidates is however not applicable in case of collective dismissals based on economic grounds, if it can be expected that the employee will lose the position granting him or her the termination protection within 4 weeks, Art. 7:671a (11), 7:670a (3) (c) CC, or, in case of a termination based on the worker’s conduct or capabilities, if the termination visibly does not relate to the employee’s position in the Works Council or is in his or her interest, Art. 7:671b (6) CC.;<br/>4) to an employee who had been a member of a works council or any of its committees less than two years prior to the notice, or is eligible for election to the works council, unless with prior judicial approval, Art. 7:670(10) CC. The latter will only be given when the employer can make a convincing case that the reason for termination is not related to the employee&apos;s duties for the works council."
Europe,Norway,2019,"workers&apos; representatives","No specific protection against dismissal other than the prohibition of discriminatory dismissal in respect of employees performing military service, employees temporarily unable to work, and pregnant employees (see above).  This means that the employer can dismiss those employees provided that it is justified on other grounds (e.g. in the case of collective redundancies). However,  the WEA establishes legal presumption that the dismissals are based on prohibited grounds if they happen during a certain period unless other grounds are shown to be highly probable.<br/><br/>Employees on maternity and parental leave enjoy protection in the sense that they cannot be given notice of dismissal (on any grounds) that becomes effective during the period of absence provided that the employer is aware that the absence is for such a reason.<br/>If the employee is lawfully dismissed during this period, the notice will be valid but the period must be extended accordingly (art. 15-9 WEA)."
Asia,"New Zealand",2019,"workers&apos; representatives","As already stated, dismissal is prohibited on grounds of pregnancy and of a woman&apos;s state of health during pregnancy, and on grounds that a male or female employee intends to take parental leave or to assume the care of a child with a view of adoption. However, the employer is allowed to dismiss an employee for a substantial reason which is not related to the above-mentioned grounds.<br/><br/>There is a special protection against dismissal of a male or a female employee during parental leave and during 26 weeks thereafter: it is prohibited for the employer to dismiss them. However, this prohibition is not absolute: the dismissal will be lawful if the employer proves that he/she terminated the employee&apos;s employment on account of a redundancy situation of such nature that there was no prospect of the employer being able to appoint the employee to a position which was vacant and which was substantially similar to the position held by the employee at the beginning of the employee&apos;s parental leave. <br/>(See sec. 49-52 of the Parental Leave and Employment Protection Act 1987)"
Americas,Panama,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers holding an elected position or discharging a public function","- On trade union protection (fuero sindical), see art. 381 -387 LC. The special protection applies to the following workers:  the members of trade unions, where the unions are being established; the members of the executive committees of workers&apos;, trade unions&apos; federations, confederations or central congresses, up to a maximum of 11 members, substitute members of the executive committee.<br/>Art. 384 of the LC establishes a series of rules applicable to the duration of trade union immunity:<br/>    * for the members of trade unions in the course of formation: for three months following the date on which such association&apos;s registration is authorized;<br/>    * for titular and substitute members of executive committees (the latter if they enjoy trade union immunity) and trade union representatives: for one year running from the date on which they cease to hold office;<br/>The protection of trade union immunity commences on the date on which the worker&apos;s name appears on the list of candidates for election, on condition that such list is communicated to the employer or to the Inspectorate of Labour, and provided that such protection does not cover a period of more than one month before the actual date of the elections. Elected candidates continue to enjoy trade union immunity even before they take office, and unsuccessful candidates are to continue to enjoy such protection for the entire month following the date of the election returns. If the communication referred to above is not made, immunity should be afforded to members of the executive committee and trade union representatives as from the date of their election.<br/><br/>- Maternity protection: see art. 106 LC. <br/>An expectant mother may be dismissed only for valid reasons and with prior authorization of the judicial authorities. An expectant mother who receives notice of dismissal or of unilateral termination of her employment which has not been authorized by the competent labour court must submit to the employer or to any labour authority a medical certificate of her pregnancy within the 20 days of receipt of such notice of dismissal. On completion of this formality the employee is entitled to immediate reinstatement in her employment plus payment in full of her remuneration as from the date of the dismissal. If she allows the said 20-day period to expire without taking any action, she may submit the certificate and claim reinstatement at any time during the following three months, but in this case she is entitled only to back payment of her remuneration as from the date on which she submits the certificate. If the employer refuses to reinstate her, she may sue in the ordinary way for a reinstatement order."
Americas,Peru,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers holding an elected position or discharging a public function","- There is no specific protection for trade union members or worker&apos;s representatives other than the prohibition of dismissing them on the grounds of their affiliation or activities or on the grounds of their candidature, status or former status as a workers&apos; representative. As already mentioned under &quot;prohibited grounds&quot;, any dismissal on those grounds will be null. (art. 29 a),b),c) LPCL) <br/><br/>- With regards to pregnancy, delivery and its consequences or breastfeeding any dismissal based on the pregnancy is null if it takes place at any time during pregnancy or 90 days delivery. Additional protection consists in a presumption that the dismissal is grounded on the pregnancy if the employer is unable to prove any other valid reason for the dismissal. Dismissal of a pregnant woman for a valid reason is therefore permitted (art. 29 e) LPCL).<br/>"
Asia,Philippines,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers holding an elected position or discharging a public function","Art. 135 (2) LC: It is prohibited to dismiss a woman while on leave or in confinement due to her pregnancy. <br/><br/>"
