Region,Country,Year,"Notification to the worker to be dismissed","Pay in lieu of notice","Notification to the public administration","Notification to workers' representatives","Approval by public administration or judicial bodies","Approval by workers' representatives","General remarks"
Europe,Hungary,2019,written,N,N,N,N,N,"•Sec 69 LC provides for a notice period of 30 days, which, in case of dismissal by the employer, shall be extended by: <br/>* 5 days after 3 years of service;<br/>* 15 days after 5 years of service;<br/>* 20 days after 8 years of service;<br/>* 25 days after 10 years of service;<br/>* 30 days after 15 years of service;<br/>* 40 days after 18 years of service;<br/>* 60 days after 20 years of service.<br/><br/>By agreement of the parties the notice periods referred to in Subsections (1)-(2) may be extended by up to six months (LC, sec. 68(3)). The period of notice for the termination of a fixed-term employment relationship by notice may not go beyond the fixed term. (LC, sec. 68(5))<br/>"
Asia,Indonesia,2019,"no specific form required",N,N,Y,Y,N,"Indonesian law does not set out notice periods. If an employer decides to terminate an employee, he/she shall obtain the approval from the institution for the settlement of industrial relations disputes. In practice, this pre-termination statutory procedure involves a delay between the employer notifying the employee of the planned termination and the termination date."
Asia,India,2019,written,Y,N,N,Y,N,"Sec. 13(1) MSO provides that permanent monthly paid workers are entitled to <b>one month&apos;s notice</b>, while other types of permanent workers shall be given <b>two week&apos;s notice.</b><br/>_________<br/>Also, Sec. 9 of IDA sets <b>one month&apos;s notice</b> for employer who proposes to retrench workers.<br/><br/>Sec. 25N IDA provides that (in case of retrenchment in establishments of 100 or more workers):<br/>(1) No workman employed in any industrial establishment to which this Chapter applies, who has been in continuous service for not less than one year under an employer shall be retrenched by that employer until,<br/>(a)   the workman has been given <b>three months&apos; notice</b> in writing indicating the reasons for retrenchment and the period of notice has expired, or the workman has been paid in lieu of such notice, wages for the period of the notice; and<br/><br/>Sec. 25F (in case of retrenchment in establishments of 50 or more workers) provides that before retrenching an employee employed for a period of continuous period of not less than one year he/she must be has been given <b>one month&apos;s notice</b> in writing."
Asia,"Iran, Islamic Republic of",2010,"no specific form required",N,N,Y,N,Y,"No statutory notice period to be observed."
Europe,Italy,2019,written,Y,Y,N,N,N,"Article 2118 CC provides that the length of the notice period is <b>normally</b> governed by collective agreements according to the employee’s length of service, tasks assigned and category."
"Arab States",Jordan,2019,written,Y,N,N,N,N,"Art. 23 A) LL: If one of the parties intends to terminate the employment contract, he or she shall notify the other party of his or her intention in writing at least one month in advance."
Asia,Japan,2019,"no specific form required",Y,N,N,N,N,"<b>Indefinite contracts</b>:<br/><br/>Sec 20(1) and (3) of LSA: In case of terminating an indefinite employment contract, the employer must provide at least 30 days advance notice.  An employer who does not give 30 days advance notice is required to pay the average wage for a period of not less than 30 days, provided, however, that this shall not apply in the event that the continuance of the enterprise has been made impossible by a natural disaster or other unavoidable reason nor when the worker is dismissed for reasons attributable to the worker. In the event of circumstances under the second sentence of the provision of the preceding paragraph, the employer shall obtain the approval of the relevant government agency with respect to the reason in question.  <br/><br/>The requirement for 30-day advance notice shall not apply to any worker coming under one of the following items; provided, however, that this shall not be the case with respect to a worker coming under item (i) who has been employed consecutively for more than one month, a worker coming under either item (ii) or item (iii) who has been employed consecutively for more than the period set forth in each such item respectively, nor a worker coming under item (iv) who has been employed consecutively for more than 14 days (section 21 of LSA): (i)workers who are employed on a daily basis; (ii) workers who are employed for a fixed period not longer than 2 months;&#12288;(iii)&#12288;workers who are employed in seasonal work for a fixed period not longer than 4 months; (iv) workers in a probationary period unless they have been employed consecutively for a period of more than 14 days (not only working days, but also including rest days).  <br/>With regard to domestic workers and employers’ family members who are excluded from the scope of LSA, the notice period under the Civil Code applies: Both parties can terminate an employment contract of indefinite duration at will provided that two weeks&apos; notice is given (section 627(1), CC). <br/><br/><b>FTCs</b>:<br/>Sec 17(1) of LCA provides that an employer may not dismiss a worker until the expiration of the term of such labour contract, unless there are unavoidable grounds."
Europe,Kyrgyzstan,2019,written,Y,N,N,N,N,"Art. 85 LC"
Asia,Cambodia,2018,written,Y,Y,N,N,N,"1) For workers under a contract of unspecified duration:<br/><br/>Sec. 75 LC: The minimum period of a prior notice is set as follows:<br/>- 7 days, if the worker&apos;s length of continuous service is less than six months;<br/>- 15 days, if the worker&apos;s length of continuous service is from six months to two years;<br/>- 1 month, if the worker&apos;s length of continuous service is longer than two years and up to five years.<br/>- 2 months, if the worker&apos;s length of continuous service is longer than five years and up to ten years.<br/>- 3 months, if the worker&apos;s length of continuous service is longer than ten years.<br/><br/>2) Specific rules apply to fixed term contracts:<br/><br/>Sec. 73 LC: A labor contract of specific duration normally terminates at the specified ending date. It can, however, be terminated before the ending date if both parties are in agreement on the condition that this agreement is made in form of writing in the presence of a Labor Inspector and signed by the two parties to the contract.  If both parties do not agree, a contract of specified duration can be cancelled before its termination date only in the event of the serious misconduct or acts of God […]  If the contract has a duration of more than six months, the worker must be informed of the expiration of the contract or of its non-renewal ten days in advance. This notice period is extended to fifteen days for contracts that have a duration of more than one year. If there is no prior notice, the contract shall be extended for a length of time equal to its initial duration or deemed as a contract of unspecified duration if its total length exceeds the time limit specified in sec. 67"
Africa,Comoros,2019,written,Y,N,N,N,N,"Article 48 of the Labour Code (former art. 50): the period of notice is to be defined by decree after consultation of the Advisory Council of Labour and Employment (previously: the Supreme Council of Work) to take into account, namely, worker&apos;s tenure and professional categories. No Decree has been adopted as of 2019.<br/>"
Asia,"Korea, Republic of",2019,written,Y,N,N,N,N,"Art. 26 LSA: The notice period shall be 30 days regardless of the length of service.<br/><br/>However, exceptionally, notice may not  be given to workers who have been employed: 1) on a daily basis for less than three consecutive months; 2) for a fixed period not exceeding two months; 3) as a monthly-paid worker for less than six months; 4) for seasonal work for a fixed period not exceeding six months; 5) as a worker in a probationary period (art. 35 LSA).<br/>"
Europe,Kazakhstan,2019,written,N,N,N,N,N,"Article 53 LC. Procedure for termination of the employment contract by the employer<br/><br/>1. When an employer terminates an employment contract for the reasons provided for in article 52, paragraph 1 (1) and (2), of this Code, the employer must notify the employee in writing of the termination of the contract at least <b>one month </b>in advance, unless a longer notice period is stipulated in the employment contract or collective agreement. With the employee&apos;s written consent, the employment contract may be terminated before the expiry of the notice period. (...)<br/>2. In the event of termination of an employment contract on the grounds stipulated in article 52, paragraph 1 (3), of this Code, the employer must notify the employees in writing of the termination of the employment contract <b>15 working days</b> in advance, unless a longer notice period is stipulated in the employment or collective agreements. (...)<br/><br/>However, each of the grounds for contract termination outlined in Article 52 LC has its own procedure outlined in Article 53. One month notice is not applicable to all of the grounds. Notice period varies from 10 calendar days to 15 working days to 1 month. Some instances do not indicate on notice period (e.g. medical conditions, grounds for alcoholics).<br/><br/>On the basis that Article 53 LC provides for two different length of notice (either 15 days or 1 month) depending on the type of <b>economic</b> dismissal, an average between the two is taken in the table hereunder, i.e. 21 days.<br/><br/>On the basis of Article 53(3-10) LC, notice period is not considered for dismissals based on the <b> non-economic</b> grounds provided under Article 52(4-25).<br/>"
Americas,"Saint Lucia",2017,written,Y,N,N,N,N,"Labour Act, section 153: (1) Where a valid reason for termination exists in accordance with this Code, a contract without reference to limit of time, except during the probationary period, may be terminated by the employer upon giving to the employee the following minimum periods of notice in writing-<br/>(a) one week’s notice if the period of continuous employment is more than twelve weeks but less than two years;<br/>(b) two weeks’ notice if the period of continuous employment is two years or more but less than five years;<br/>(c) four weeks’ notice if the period of continuous employment is five years or more but less than ten years; and<br/>(d) six weeks’ notice if the period of continuous employment is more than ten years. <br/>"
Asia,"Sri Lanka",2019,"no specific form required",N,Y,N,Y,N,"- <b>No statutory notice period to be observed under the TEWA. Termination of employment of workers covered by the TEWA for any reason other than disciplinary is subject to the prior approval the Labour Commissioner (sec. 2(1) TEWA) </b>. The <b>decision to grant or refuse approval shall be made within 2 months from the date of receipt of the application </b>(sec. 11 of Industrial Disputes (Hearing and Determination of Proceedings) (Special Provisions) Act, No. 13 of 2003)<br/>- Under the IDA, <u>those employees not covered by the TEWA, who are not seasonal employees and work for an establishment of more than 15 workers, and who have been employed for more than a year</u> (sec. 31E IDA), are entitled to one month&apos;s notice in writing of any retrenchment. The employer may not effect the dismissal until the expiry of two months after notice has been given, unless an agreement to the contrary has been reached with the worker or his or her representative (sec. 31G IDA). <b>The application of this provision has been limited since the enactment of the TEWA which also applies to retrenchment and specifically provides that provisions of the IDA on retrenchment do not apply to any worker covered by the TEWA</b>.<br/>"
Africa,Lesotho,2019,"no specific form required",Y,N,N,N,N,"Art. 63 LC.<br/>Statutory notice period is set according to the length of service, as follows:<br/>* 1 or more years of service: 1 month&apos;s notice;<br/>* more than 6 months and less than 1 year: a fortnight&apos;s notice;<br/>* less than 6 months: 1 week&apos;s notice."
Europe,Luxembourg,2019,written,Y,N,N,N,N,"According to art. L 124-3 LC, the statutory notice period is: <br/>*2 months for a tenure of less than 5 years<br/>*4 months from 5 years until 10 years of service<br/>*6 months over 10 years of service<br/>Art. 124-7 LC provides that these notice periods can be extended when the employer has less than 20 employees. In that case, the employer may opt either for the payment of the severance pay referred to in Art. 124-7 (1) or for an extension of the notice periods as established by Art. 124-7 (2).<br/>________________<br/>Art. L. 124-3 du Code du travail<br/>(1) L’employeur qui décide de licencier doit, sous peine d’irrégularité pour vice de forme, notifier le licenciement au salarié par lettre recommandée à la poste. Toutefois, la signature apposée par le salarié sur le double de la lettre de licenciement vaut accusé de réception de la notification.<br/>(2) En cas de licenciement d’un salarié à l’initiative de l’employeur, le contrat de travail prend fin:<br/>- à l’expiration d’un délai de <b>préavis de deux mois</b> pour le salarié qui justifie auprès du même employeur d’une ancienneté de services continus inférieure à cinq ans;<br/>- à l’expiration d’un délai de <b>préavis de quatre mois</b> pour le salarié qui justifie auprès du même employeur d’une ancienneté de services continus comprise entre cinq ans et moins de dix ans;<br/>- à l’expiration d’un délai de <b>préavis de six mois</b> pour le salarié qui justifie auprès du même employeur d’une ancienneté de services continus de dix ans au moins.<br/><br/>L&apos;article 124-7(2) du Code du travail prévoit que <b>l’employeur occupant moins de vingt salariés</b> peut opter dans la lettre de licenciement soit pour le versement des indemnités visées au paragraphe (1) de l&apos;art. 124-7, soit pour la prolongation des délais de préavis visés à l’article L. 124-3 qui, dans ce cas, sont portés:<br/>– à cinq mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de cinq années au moins;<br/>– à huit mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de dix années au moins;<br/>– à neuf mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de quinze années au moins;<br/>– à douze mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de vingt années au moins;<br/>– à quinze mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de vingt-cinq années au moins;<br/>– à dix-huit mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de trente années au moins."
Africa,Morocco,2019,written,Y,Y,N,N,N,"Art. 1 of the Decree n°2-04-469 of 29 December 2004 : notice period varies according to the category of workers and the length of service as follows:<br/>1) For white collars and blue collars<br/>- less than one year of service: 8 days;<br/>- 1 to 5 years of service: 1 month:<br/>- more than 5 years of service: 2 months.<br/><br/>2) For managerial and similar positions:<br/>- less than one year of service: 1 month;<br/>- 1 to 5 years of service: 2 months;<br/>- more than 5 years: 3 months.<br/>"
Europe,"Moldova, Republic of",2017,written,N,N,N,N,N,"Art. 184 LC.<br/>Notice period varies according to the ground for dismissal:<br/>* 2 months minimum in case of dismissal based on economic grounds (enterprise liquidation or staff reduction<br/>* 1 month minimum for dismissals based on the worker&apos;s capacity (health condition or insufficient qualifications)<br/>* No mandatory notice when dismissal follows infringements of the employee&apos;s work responsibilities."
Europe,Montenegro,2020,written,Y,N,Y,N,N,"Article 177(1) The employee has the right and duty to remain at work for at least 30 days from the day of delivery of the termination of the employment contract, ie the decision on termination of employment (notice period)."
Africa,Madagascar,2019,written,Y,N,N,N,N,"The notice period is regulated by Decree 2007-009.<br/>The statutory minimum notice period is set according to the length of service and varies according to the workers&apos; category. For the purpose of calculating the notice period, workers are divided into 5 groups (see Art. 2 Decree 2007-009).<br/><br/>- Group I covers mainly unskilled blue collar workers, workers performing work which requires limited skills or professional experience, and employees performing tasks which only require limited training.<br/>- Group II includes  skilled blue-collar workers and employees with skills and experience but whose work does not involve any specific responsibility.<br/>- Group III includes highly skilled blue-collar workers with limited responsibility, qualified employees with extensive professional training whose work involves taking initiative and exercising specific responsibilities, and junior executives.<br/>- Group IV includes engineers and highly qualified technicians and employees exercising supervisory, coordination or managerial functions.<br/>- Group V covers those workers who do not fall within the previous category, which mainly includes top executives.<br/><br/>The notice periods are set as follows:<br/>* Length of service < 8 days: <br/>Group I: 1 day; Group II: 2 days; Group III: 3 days; Group IV: 4 days; Group V: 5 days.<br/>* Length of service < 3 months: <br/>Group I: 3 days; Group II: 8 days; Group III: 15 days; Group IV: 1 month; Group V: 1 month.<br/>* Length of service < 1 year: <br/>Group I: 8 days; Group II: 15 days; Group III: 1 month; Group IV: 1.5 months; Group V: 3 months.<br/>* Length of service > 1 year: <br/>Group I: 10 days; Group II: 1 month; Group III: 1.5 months; Group IV: 2.5 months; Group V: 4 months.<br/>* Length of service > 3 years: additional 2 days per year of service <br/>* Length of service > 5 years: <br/>Group I: 1 month; Group II: 1.5 months; Group III: 2 months; Group IV: 3 months: Group V: 6 months."
Europe,"North Macedonia",2017,written,Y,N,N,N,N,"Art. 88 (2) LRA stipulates that in the case of an <b>individual dismissal</b> or in the case of <b>a dismissal of a small number of workers</b>,  the statutory minimum notice period is <b>one month</b>.  The individual employment contract or a collective agreement may stipulate a longer period of notice. However, it cannot exceed 3 months. If the dismissals affect <u>more than 150 employees or 5% of total number of workers</u>, the notice period is <u>two months</u>. (Art. 88.2 LRA) <br/>The LRA provides a list of justified grounds for termination without notice and these include: unjustified absence from work for three consecutive days or 5 days within one year, misuse of sick leave; failure to comply with the workplace regulations on health, safety and environmental protection, use of alcohol and drugs, robbery at the workplace or negligence causing damages to the employer, disclosure of business, official or state secrets (art. 82 LRA)."
Asia,Mongolia,2017,written,N,N,N,N,N,"The employer is required to give at least one month&apos;s notice to any employee who has been dismissed on the following grounds:<br/>- failure to meet the job requirements due to the lack of professional qualifications or skills or for health reasons; or<br/>- dissolution of a branch or a unit of the undertaking, reduction of the number of employees, elimination of a position within the company. (art. 40.5 LC)"
Africa,Malawi,2019,written,Y,N,N,N,N,"Art. 29 (1) EA: Notice period for terminating a contract for an unspecified period of time varies between 1 day and one month depending  on the frequency of pay and/or the length of service, as follows:<br/>1) workers paid on a monthly basis: 1 month&apos;s notice;<br/>2) workers paid on a fortnightly basis:<br/>- 1 fortnight&apos;s notice for less than 5 years of service<br/>- 1 month&apos;s notice for at least 5 years of service;<br/>3) workers paid on a weekly basis:<br/>- 1 week&apos;s notice for less than 2 years of service<br/>- 1 fortnight&apos;s notice between 2 and less than 5 years of service<br/>- 1 month&apos;s notice for at least 5 years of service;<br/>4) workers paid on a hourly basis:<br/>- 1 day&apos;s notice for less than 6 months of service<br/>- 1 week notice between 6 months and less than 2 years of service<br/>- 1 fortnight&apos;s notice between 2 and less than 5 years of service<br/>- 1 month&apos;s notice for at least 5 years of service.<br/><br/>Art. 29 (3) EA: The minimum period of notice in respect of a contract of employment for a specified period of time shall be 14 days."
Americas,Mexico,2019,written,N,N,N,N,N,"No statutory minimum notice period."
Asia,Malaysia,2018,written,Y,N,N,N,N,"Sec. 12 (2) EA lays down statutory minimum notice periods applicable to all dismissals, including those for operational reasons,  but except dismissals for misconduct, as follows: <br/>- 4 weeks for employees with less than 2 years of service;<br/>- 6 weeks for employees with 2 to 5 years of service;<br/>- 8 weeks for employees with more than 5 years of service."
Africa,Mozambique,2019,written,Y,Y,Y,N,N,"Article 130 Labour Act provides that the employer has the right to terminate one or more contracts of employment, with an advance notice, for structural, technological and market reasons.<br/>Article 131 (2) provides that the previous notice shall not be less than 30 days."
Africa,Namibia,2019,written,Y,N,N,N,N,"Sec. 30(1) LA set forth statutory minimum notice periods according to the employee&apos;s length of service, as follow:<br/>- one day, if the employee has been employed for four weeks or less;<br/>- one week, if the employee has been employed for more than four weeks but not more than one year;<br/>- one month, if the employee has been employed for more than one year.<br/><br/>An employer and an employee may agree to a longer notice period provided that it is of equal duration for both parties (sec. 30(2) LA)"
Africa,Niger,2019,written,Y,N,N,N,N,"No specified duration in the LC (see Art. 88 LC). <br/><br/>However,the 1972 Inter-occupational Collective Agreement in Appendix No 1. establishes the duration of the notice period according to the worker&apos;s category, as follows:<br/>- 1 month for monthly paid workers; <br/>- 8 days for hourly, daily or weekly paid workers;<br/>- 1 month for first-line supervisors (&quot;agents de maîtrise&quot;) and technicians;<br/>- 3 months for engineers, executives and senior executives."
Africa,Nigeria,2020,written,Y,N,N,N,N,"Sec. 11(2) LA sets out statutory minimum notice periods as follows:<br/>    * for less than three months of service, one day;<br/>    * for three months to two years of service, one week;<br/>    * for two to five years of service, two weeks; and<br/>    * for more than five years of service, one month.<br/>The above periods are statutory minima which can be improved upon by collective agreements or contracts of employment. <br/>"
Americas,Nicaragua,2019,"no specific form required",N,Y,N,Y,N,
Europe,Netherlands,2019,"no specific form required",Y,Y,N,Y,N,"Since the 2015 reform, the employer can no longer choose which procedure to follow.<br/><br/>Article 7:669 CC establishes the procedure  to be followed. The employer may terminate the employment contract if there are reasonable grounds for doing so and redeployment of the employee within a reasonable period, whether or not by means of training, to another suitable position is not possible or would not be logical.<br/><br/>The statutory minimum notice period to be respected depends on the worker&apos;s length of service, as follows (Art. 7:672(2) CC):<br/>* less than 5 years of service: 1 month<br/>* between 5 and less than 10 years: 2 months <br/>* between 10 and less than 15 years: 3 months<br/>* 15 years or more years: 4 months"
Europe,Norway,2019,written,N,N,Y,N,N,"Art. 15-3 WEA states that unless otherwise stipulated in collective agreement, the notice period shall be one month. <br/>Before notice has been given, an agreement on a shorter period of notice may only be concluded between the employer and the employee&apos;s elected representatives at undertakings bound by a collective pay agreement. Furthermore, shorter notice periods may be provided for in the regulations issued by the Ministry for participants in labour market schemes. <br/><br/>The same article further provides for the following notice periods: <br/><br/>*if the employee has been employed in the same undertaking for at least five consecutive years: at least two months&apos; notice;<br/>* if the employee has been employed in the same undertaking for at least ten consecutive years: at least three months&apos; notice;<br/>*if the employee has been employed in the same undertaking for more than ten consecutive years:<br/>a) at least four months if the employee is 50 years old,<br/>b) at least five months if the employee is above 55 years old,<br/>c) at least 6 months if the employee is above 60 years old.<br/>"
Asia,"New Zealand",2019,"no specific form required",N,N,N,N,N,"No specific period of notice is required by statute. Notice requirement is a matter for contract. Where notice is specified under the contract of employment or under a collective agreement, failure to provide such notice will be treated as a factor evidencing an unjustified dismissal. Moreover, failure to give the requisite notice is also a breach of contract which is actionable by a claim for breach of contract or by arrears of wages claim. Where notice is not specified in the contract, the adjudicatory bodies will determine what constitutes reasonable notice in the circumstances."
Americas,Panama,2019,written,N,N,N,N,N,"<b>No statutory notice periods to be observed</b>.<br/><br/>However, there is an exception for some specific categories of workers to which the &quot;just cause&quot; rule does not apply. Those workers can be dismissed without just cause provided that the employer gives 30 days&apos; prior notice or pay the corresponding amount in addition to a payment amounting to compensation for unfair dismissal. <br/>This rule applies to those  workers with  less than two years&apos; uninterrupted service; domestic employees; permanent employees of small agricultural, fishing or manufacturing undertakings; seafarers serving on board vessels operating on international routes;  apprentices; workers in retail sales establishments and in undertakings with five or fewer workers, except in the case of insurance establishments or real estate (art. 212 LC).<br/>"
Americas,Peru,2019,written,N,N,N,N,N,"See art. 31 LPCL:<br/>- The employer must give the worker a reasonable period of written notice, of not less than six calendar days in case of misconduct, so that the worker can present a written defense to any charges brought against him or her. <br/>- If the worker is guilty of flagrant serious misconduct where it would be unreasonable to require the employer to continue the employment relationship, no notice is required.<br/>- In the event of allegations related to capacity of the worker or errors, the employer must give a notice of at least 30 days in order for the employee to prove his or her professional capacities and correct any error. <br/>"
Asia,Philippines,2019,written,N,N,N,N,N,"Employees with regular employment contracts can only be dismissed for a just cause or an authorized cause (art. 13 (3) of the Constitution and art. 294 LC). <br/>The LC establishes a distinction between dismissal for just cause and dismissal for authorized cause.<br/>- Authorized causes are of two types: business reasons and disease (art. 298 and 299 LC).<br/>- Just causes are blameworthy acts on the part of the employee such as serious misconduct, wilful disobedience, gross and habitual neglect of duties, fraud or wilful breach of trust, commission of a crime and other analogous causes (art. 297, LC).<br/><b>There is no notice period prior to a dismissal for a just cause or for health reasons under LC.</b>  <br/>See however, Art. 292 b) LC: The employer shall furnish the worker whose employment is sought to be terminated a written notice containing a statement of the causes for termination and shall afford the latter ample opportunity to be heard and to defend himself with the assistance of a representative if he so desires in accordance with company rules and regulations promulgated pursuant to guidelines set by the Department of Labour and Employment. The written notice containing an explanation should be provided within 5 days [King of Kings Transport vs. Tinga and Velasco, G.R. 166208]<br/><b>The employer is only required to give a one-month notice to the employee in the event of termination for business reasons (art. 298 LC).</b><br/><br/>Art. 148 LC (house helpers): If the duration of the household service is not determined either in stipulation or by the nature of the service, the employer or the house helper may give notice to put an end to the relationships five days before the intended termination of the service."
Europe,Poland,2019,written,Y,N,Y,N,N,"Art. 34 LC provides that the period of notice in case of the termination of an employment contract concluded for a trial period is:<br/>1) Three working days if the trial period is less than two weeks;<br/>2) One week if the trial period is more than two weeks;<br/>3) Two weeks if the trial period is three months.<br/><br/>Art. 36, para.1 LC provides that the period of notice of termination of employment for an indefinite period and for a fixed-term depends on the period of employment with the employer:<br/>1) 2 weeks, if the employee has been employed for less than six months, <br/>2) 1 month, if the employee has been employed for at least 6 months, <br/>3) 3 months if the employee has been employed for at least 3 years.<br/><br/>According to para. 1.1, this period of employment includes also the period of employment with a previous employer in case of a transfer of undertaking (Art. 23.1), as well as in other cases when, under separate provisions, the new employer is a legal successor in employment relations concluded by the previous employer of this employee.<br/>Art. 36, para. 6 LC provides that the parties may, after termination of the employment contract by one of them, determine an earlier date of termination of the employment contract; such a provision does not change the mode of termination of the employment contract. <br/>Art. 36.1, para. 1, LC provides that if the termination of the employment contract for an indefinite period of time or a fixed term contract is caused by declaration of bankruptcy or liquidation of employer or by other reasons not related to employee, the employer can, with an aim of earlier termination of employment contract, reduce the three-month notification period, however, to a period not shorter than one month. In such case, the employee shall be entitled to compensation equal to the remuneration for the remaining period of notice.  <br/>Para. 2. The period for which compensation is due shall be added to the period of employment of the employee who was unemployed during that time. <br/>Art. 41.1, para. 1. In case of declaration of the bankruptcy or liquidation of the employer, Art. 38, 39 and 41, or the specific provisions protecting employees against termination of a contract of employment shall not apply."
Europe,Portugal,2019,written,N,Y,Y,N,N,"The employer must observe a notice period before dismissing an employee in the following cases:<br/>- dismissal for unsuitability (art. 378(2) LC)<br/>- elimination of the post (individual redundancy)(art. 371(3) LC)<br/>- collective dismissals for economic reasons (art. 363(1) LC).<br/><br/>There is no notice requirement when the dismissal is based on the misconduct of the employee.<br/><br/>The notice period is set according to the worker&apos;s seniority, as follows:<br/>- 15 days if the length of service is less than 1 years,<br/>- 30 days if the length of service is at least 1 year but less than 5 years;<br/>- 60 days is the length of service is at least 5 years but less  than 10 years;<br/>- 75 days from at least 10 years of service.<br/><br/>The LC also provides for specific notice periods in the following cases:<br/><br/>*Probationary period:<br/>During the probationary period, either party can terminate the contract without notice. As an exception, during that period, advance notice is required after a certain time has elapsed:<br/>- if the probationary period has lasted more than 60 days, the employer is required to observe a 7-day notice. (Art. 114(2) LC).<br/>- if the probationary period has lasted more than 120 days, the employer is required to observe a 15-day notice (Art. 114(3) LC).<br/><br/>*Service commission agreements:<br/>A service commission agreement (see above under &quot;workers&apos; categories excluded&quot;) which can be concluded with certain categories of workers (mainly those exercising managerial functions) can be terminated without cause provided that the notice requirements are observed. Depending on the period of service under such contract, notice period shall be 30 days (less than 2 years) or 60 days (2 years or more).  (see arts. 163 LC)."
Americas,Paraguay,2019,written,Y,N,N,N,N,"According to article 87 of Labour Code, in the case of an indefinite-time contract, neither party may terminate it without giving prior notice to the other, except as provided in Articles 81 and 84 of this Code (valid grounds for dismissals), in accordance with the following rules: a) Completed the trial period up to one year of service, thirty days&apos; notice; b) More than one year and up to five years old, forty-five days&apos; notice; c) Over five and up to ten years old, sixty days&apos; notice; and, d) Of more than ten years old and upwards, ninety days&apos; notice.<br/> <br/>In the calculation of seniority, prior notice will be understood, if the worker served during that time.<br/><br/>"
Europe,Romania,2019,written,N,N,N,N,N,"See art. 75 LC(former art. 73), as amended by Act No. 40/2011: <br/>When the dismissal is based on the following grounds:<br/>- physical or mental inability to work;<br/>- professional inadequacy;<br/>-  redundancy (objective reasons);<br/>the employees shall now have the right to a notice of at least <b>20 working days</b> [instead of 15 days previously]. <br/>This does not apply to the dismissal of worker under a probationary period.<br/>No notice shall be observed when the dismissal is based on disciplinary grounds."
Europe,"Russian Federation",2019,written,Y,N,N,N,N,"Article 180 LC provides that the employees should be notified no less than two months if the reason for the dismissal is liquidation or downsizing of the enterprise.<br/><br/>Moreover:<br/>•if a fixed-term contract for a period of up to 2 months is terminated, a notice must be sent not less than 3 calendar days for the reasons of expiry of the contract (Article 79 LC) and for liquidation or downsizing of the enterprise (Article 292 LC);<br/>•if a seasonal work contract is terminated, a notice must be sent not less than 7 calendar days (Article 296 LC)<br/>•if the employee is a migrant worker or a stateless person, a notice regarding the termination of the contract for liquidation or downsizing of the enterprise reasons must be sent not less than 3 calendar days before the dismissal (Article 327.6 LC)<br/>"
Africa,Rwanda,2019,written,Y,Y,N,N,N,"Art. 24LL: The notice period shall be at least:<br/>- 15 days if the worker has worked for less than a year;<br/>- 1 month if the worker has workers for a period of one year or more.<br/><br/>No notice period shall apply to a worker on probation.<br/><br/>Art. 28(2) LL provides that where a fixed term contract is terminated due to gross negligence, the party causing the contract to be terminated shall notify the same to the other party within fourty eight (48) hours."
"Arab States","Saudi Arabia",2017,written,Y,N,N,N,N,"Art 75 LL: the notice period shall be at least 60 days for monthly paid workers and 30 days for the others."
Europe,Sweden,2017,written,N,N,N,N,N,"Sec. 11 EPA:<br/>- The minimum notice period is 1 month.<br/>- The notice period shall be:<br/>* 2 months for tenure of at least 2 years but less than 4 years; <br/>* 3 months for tenure of at least 4 years but less than 6 years; <br/>* 4 months for tenure of at least 6 years but less than 8 years; <br/>* 5 months for tenure of at least 8 years but less than 10 years; <br/>* 6 months for tenure of at least 10 years.<br/>"
