Region,Country,Year,No Limitation,General remarks,Max probationary (trial) period
Asia,New Zealand,2019,,"Note on terminology: The Law distinguishes between probationary and trial period. The term used in the Act is “Trial Period”. A “probationary period also exists but it is different than trial periods and doesn’t provide any duration requirements (see s 67).<br/><br/>Section 67 ERA - Probationary arrangements: <br/>(1)Where the parties to an employment agreement agree as part of the agreement that an employee will serve a period of probation after the commencement of the employment,—<br/>(a) the fact of the probation period must be specified in writing in the employment agreement; and<br/>(b) neither the fact that the probation period is specified, nor what is specified in respect of it, affects the application of the law relating to unjustifiable dismissal to a situation where the employee is dismissed in reliance on that agreement during or at the end of the probation period.<br/>(2) Failure to comply with subsection (1)&#65279;(a) does not affect the validity of the employment agreement between the parties.<br/>(3) However, if the employer does not comply with subsection (1)&#65279;(a), the employer may not rely on any term agreed under subsection (1) that the employee serve a period of probation if the employee elects, at any time, to treat that term as ineffective.<br/><br/>Section 67A ERA - When employment agreement may contain provision for trial period for 90 days or less:<br/>(1) An employment agreement containing a trial provision, as defined in subsection (2), may be entered into by an employee, as defined in subsection (3), and an employer.<br/>(2) Trial provision means a written provision in an employment agreement that states, or is to the effect, that—<br/>(a) for a specified period (not exceeding 90 days), starting at the beginning of the employee’s employment, the employee is to serve a trial period; and<br/>(b) during that period the employer may dismiss the employee; and<br/>(c) if the employer does so, the employee is not entitled to bring a personal grievance or other legal proceedings in respect of the dismissal.<br/>(3) Employee means an employee who has not been previously employed by the employer.<br/>(5) To avoid doubt, a trial provision may be included in an employment agreement under section 61(1)&#65279;(a), but subject to section 61(1)&#65279;(b).<br/><br/>See also: Section 67B ERA - Effect of trial provision under section 67A.",3.0 month(s)
Americas,Panama,2019,,"Art. 78 LC:  a probation period can be stipulated when the work requires certain aptitudes or special skills. The maximum duration of the probation period is three months, provided that it is expressly contained in the written contract of employment.",3.0 month(s)
Americas,Peru,2019,,"<u>General rule</u>: Probationary periods may last <b>three months</b>, at the end of which the worker gains the right of protection against unlawful dismissal (art. 10 LPCL).<br/><u>Extension</u>: The parties may agree to extend the probationary period where the work to be undertaken requires a period of training and adaptation or where the nature of the work or responsibility entailing such extension may be justified (art. 10 LPCL). <br/>Extension of the probationary period must be established in writing and may not exceed:<br/>- <b>six months in total</b> in the case of <b>skilled workers and persons in positions of trust</b>, <br/>- <b>one year for managerial personnel</b>.<br/>",1.0 year(s)
Asia,Philippines,2019,,Art. 296 LC,6.0 month(s)
Europe,Poland,2019,,"Art. 25 para. 2 LC: An employment contract for a trial period shall be concluded for a period of no longer than three months in order to check the employee’s qualifications and the possibility of his employment to carry out a specific type of work.<br/>Art. 25 para. 3 LC: Renewing the employment contract for a trial period with the same employee is possible:<br/>1) if the employee is to be employed to perform a different type work;<br/>2) after at least 3 years from the date of termination or expiration of the previous employment contract if the employee is to be employed for the purpose of performing the same type of work; in such case, the renewal of the employment contract for a trial period is possible only once.<br/>",3.0 month(s)
Europe,Portugal,2019,,"With respect to the duration of the probationary period, the LC distinguishes between the type and the duration of the contract (fixed-term or open-ended) and the category of workers concerned (art. 112 LC).<br/><u>1) Contract of indefinite duration (open-ended contract)</u>:<br/>- As a general rule, <b> the standard statutory duration of the probationary period shall be 90 days</b>.<br/>- It is extended to <b>180 days</b> for employees who hold positions of a <u>complex technical nature, with high degree of responsibility, or which require special qualifications, as well employees in a position of trust</u>. The reform of 2019 also included first-time jobseekers and long-term unemployed workers in this list. <br/>- The probationary period is <b> 240 days</b> for <u>managers  or senior executives</u>. (art. 112(1) LC)<br/><br/><u>2) Contract of definite duration (fixed-term contract)</u>:<br/>For FTCs, the length of probationary period depends on the duration of the contracts. It is:<br/>- 30 days in the event of a FTC concluded for at least 6 months;<br/>- 15 days in the event of a FTC with a fixed date of expiry is concluded for less than 6 month or in the event of an FTC with an uncertain term if the expected duration does not exceed that limit. (art. 112(2) LC)<br/><br/>In addition for service commission contract which can be concluded with some categories of workers holding managerial functions (see above the remarks under &quot;worker&apos;s categories excluded&quot;), the length of the probationary period depends on the stipulations of the contracts but must not exceed  180 days. (art. 112(3) LC)<br/><br/>The probationary period can be excluded or reduced by written agreement of the parties.  It can also be excluded or reduced according the duration of the previous FTC for the same activity, previous temporary contract for the same position, outsourcing for the same final object, internship or traineeship, for the same employer (art. 112°, 4, LC). It can be reduced by collective agreement (but not excluded) (art. 111(3) and 112(5) LC)<br/><br/><b>New in 2019</b>:<br/>During the probationary period, either party may unilaterally terminate the contract, without prior notice of need to invoke just cause, except in cases in which the contract has lasted more than 60 days, in which case the employer must give a prior notice of 7 days, and more than 120 days, in which case the employer must give a prior notice of at least 15 days (Art 114°, 2 and 3, LC). In case of failure to comply with previous notice, a compensation is due according to the missing time. (art. 114, LC)",240.0 day(s)
Americas,Paraguay,2019,,"According to articles 58 of Labour Code, it is possible to establish a trial period that will be aimed at the employer, assessing the skills of the worker and, on the part of the latter, verifying the appropriateness of the conditions of the contracted work. This period will have a maximum of the following duration: a) Thirty days for domestic service personnel and unskilled workers; b) Sixty days, for qualified workers or apprentices; and, c) In the case of highly specialized technical workers, the parties may agree on a different period from the previous one, according to the modalities of the contracted work.<br/>In addition, according to article 59 of same Code, if at the end of that, none of the contractors express their express wish to terminate the employment contract, it will continue in force in the agreed form, the trial period must be computed for all legal purposes. In the event of a new contract between the same contractors and for the same type of work, there will be no trial period.<br/>",60.0 day(s)
Europe,Romania,2019,,"Art. 31 LC:<br/>- maximum 90 days for operational positions [previously: 30 days];<br/>- maximum 120 days for managerial positions for operational positions [previously: 90 days];<br/><br/>Specific rules are applicable to certain categories of workers:<br/>- persons with disabilities: 45 days (Law no. 448/2006);<br/>- higher-education graduates: 6 months (Law no. 335/2013);<br/>During or at the end of the probation period, either party can terminate the employment contract by a written notification with no previous notice and no justification is needed for it.<br/><br/>- Art. 85 LC establishes statutory probationary periods for employees hired under a fixed-term contract, as follows:<br/>- 5 working days, for a FTC of less than 3 months;<br/>- 15 working days, for a FTC between 3 and 6 months;<br/>- 30 working days, for a FTC exceeding 6 months;<br/>- 45 working days, in the case of employees holding management positions, hired under a FTC for more than 6 months.",3.0 month(s)
Europe,Russian Federation,2019,,Article 70 of the Labor Code: the probationary period cannot exceed 3 months for all workers and 6 months for some managers and financial officers.,6.0 month(s)
Africa,Rwanda,2019,,"•Art. 13 LL provides that the probation period cannot exceed 3 months. However, after the written evaluation of the employee’s performance notified to the employee, the employer can for valid reasons related to the nature of work, employee’s performance and conduct, decides that an employee retakes the probation for a period not exceeding three (3) months.",6.0 month(s)
Arab States,Saudi Arabia,2017,,Art. 53 LC: probationary period is extended to up to 180 days with the 2015 reform.,6.0 month(s)
Europe,Sweden,2017,,"Sec. 6 EPA.<br/>Refers to the possibility to conclude &quot;contract for probationary employment, provided that the probationary period does not exceed 6 months&quot;.",6.0 month(s)
Asia,Singapore,2019,Y,"The EA does not refer to any probation period.<br/>However, it is common practice for employees to serve a 3 to 6 month-probationary period. <br/>",nan nan
Europe,Slovenia,2019,,Art. 125 ERA: The trial period may not last longer than 6 months. It can be extended in case of temporary absence from work.,6.0 month(s)
Europe,Slovakia,2019,,"•Sec. 45 LC:<br/>(1) A probationary period may be agreed in an employment contract for a maximum of <b>three months</b>, except in the case of an executive employee who reports directly to the statutory body or a member of the statutory body and in the case of an executive employee who reports directly to such an executive employee, where the maximum shall be <b>six months</b>. A probationary period may not be prolonged.<br/>(2)The probationary period shall be prolonged by periods of obstacles to work on the part of the employee.<br/>(3)The probationary period must be agreed upon in writing or otherwise it shall be invalid.<br/>(4)A probationary period may not be agreed if a fixed term employment relationship is renewed.",6.0 month(s)
Africa,Senegal,2019,,"Maximum 6 months including renewal: art. L38 LC.<br/>Art. 11 of the Inter-occupational collective agreement foresees specific trial periods according to the worker&apos;s category, as follows:<br/>* 1 month for monthly paid workers, supervisors, technicians and similar workers;<br/>* 3 months for engineers, managers;<br/>* 8 days for workers paid on a hourly or daily basis.<br/>The trial period can be renewed once.<br/>",6.0 month(s)
Americas,El Salvador,2019,,"Art. 28 LC: maximum 30 days. Within this period either party can terminate the contract without cause.<br/>Once this time is exceeded, the employment contract will be considered open-end, unless the parties have a fixed term of termination according to the cases provided by law. A new probationary period cannot be stipulated, if a new contract between the same contracting parties and the same work is concluded before one year has elapsed.",1.0 month(s)
Arab States,Syrian Arab Republic,2013,,Art. 49 LL.,3.0 month(s)
Asia,Thailand,2019,Y,The LPA does not regulate the duration of the probationary period.<br/><br/>,nan nan
Europe,Tajikistan,2019,,Art. 28(1) LC.,3.0 month(s)
Europe,Turkmenistan,2019,,Art. 28 LC: The probationary period cannot exceed 3 months for workers and 6 months for managerial employees.,6.0 month(s)
Africa,Tunisia,2019,,"Art. 18 LC provides that in every contract of employment, the duration of the probationary period is governed by collective or individual agreement, by custom or by the law.<br/>The LC does not set out any maximum or minimum duration for the probationary period.<br/>However, the duration of the probationary period is regulated by the Collective Framework Agreement (as amended). Art. 10 of the CFA stipulates that such trial period shall be:<br/>- 6 months for workers (&quot;agents d&apos;exécution&quot;)<br/>- 9 months for first line supervisors (&quot;agents de maîtrise&quot;)<br/>- 1 year for executives.<br/>The trial period can be renewed once.<br/>[2 years = probationary period for executives (1 year) renewed once]<br/>________________<br/>Art. 18 du Code du travail (LC) prévoit que dans tout contrat de travail, la durée de la période d&apos;essai résulte des conventions collectives ou particulières, de l&apos;usage ou de la loi. Le Code du travail ne fixe pas de durée maximale ou minimale pour la période d&apos;essai.<br/>Toutefois, la durée de la période probatoire est régie par la Convention collective dont l&apos;article 10 dispose que la période d&apos;essai est fixée comme suit :<br/>- pour les agents d&apos;exécution: six mois.<br/>- pour les agents de maîtrise : neuf mois.<br/>- pour les cadres : une année.<br/><br/>(La durée de 2 ans indiquée ci-dessus correspond à la période probatoire pour les cadres supérieurs (1 an) renouvelée une fois)",2.0 year(s)
Europe,Türkiye,2019,,"Art. 15 LA: The parties can agree on a probationary clause in the employment contract which shall not exceed 2 months. It can however be extended by collective agreement. During the probationary period, the parties are free to terminate the contract without observing the notice requirements.<br/>Note: Employees with less than 6 months&apos; service are excluded from the job security provision which provides for protection against unjustified termination (Art. 18 LA - see below valid grounds).",2.0 month(s)
Africa,"Tanzania, United Republic of",2019,,"The ELRA does not regulate probationary period as such.<br/>However, pursuant to Art. 35 ELRA, the provisions on Unfair Termination of Employment do not apply to workers with less than 6 months&apos; employment with the same employer, whether under one or more contracts.",6.0 month(s)
Europe,Ukraine,2019,,"Art. 27 LC provides for the probationary period which can not be longer than 3 months. However it can be prolonged for 3 months more in some special cases and in consultation with appropriate representative body. In case that the employee was absent from work because of the temporary disability or other valid reasons, probation period may be extended for the number of days the employee has been absent. (Art. 27 LC)",3.0 month(s)
Africa,Uganda,2019,,"Art. 67(2) EA: max. 6 months, which may however be extended for a further period of not more than 6 months with the agreement of the employee.",12.0 month(s)
Americas,United States,2017,Y,Employees who are represented by a union are generally covered by a collective- bargaining agreement that contains a provision defining the probationary period (often between 30 and 90 days).,nan nan
Americas,Uruguay,2019,Y,"There is no legal regulation of the probationary period, however, trial period is largely accepted and used by employers. Jurisprudence has admitted that dismissals within 90 days do not generate compensation to the worker subject to the trial period.<br/>According to article 7 of Law on Youth Employment, in the employment relationship of young workers, a trial period may be foreseen for a period of up to thirty calendar days for contracts of six to eleven months duration and up to sixty days for contracts of twelve to eighteen months duration.<br/>",nan nan
Europe,Uzbekistan,2019,,Art. 85 LC <br/><br/>,3.0 month(s)
Americas,"Venezuela, Bolivarian Republic of",2019,,"The OLL does not establish a probationary period for workers, however, it establishes a period of 30 days in which the worker is not protected by the right to a stable job place and, therefore, can be dismissed without just cause (Art. 87 OLL). Academics considers this to be a non-explicit probationary period.<br/> <br/>Note that article 80 OLL foresees a trial period of 90 days for workers that are being promoted. In case of failure, the worker will be reinstalled in its previous <br/>",1.0 month(s)
Asia,Viet Nam,2011,,"Art. 7, Decree 2003: The employer and the employee may agree on a probationary period not exceeding 60 days in respect of highly specialized technical work, 30 days in respect of work that requires a secondary skill level, and 6 days in respect of other work.",2.0 month(s)
Arab States,Yemen,2013,,Art. 28 LC.,6.0 month(s)
Europe,Serbia,2019,,Article 36 <br/>(1) The employment contract may stipulate a probation work for performing one or more associated or related activities determined by the employment contract. <br/>(2) The probation work may last for a maximum of six months. <br/>,6.0 month(s)
Africa,South Africa,2019,Y,"No maximum duration specified in the legislation.<br/>The probationary period may be negotiated and stipulated in the contract of employment. The Code of Good Practice on dismissal contained in schedule 8 of the LRA stipulates that the probationary period must be of a reasonable duration determined in advance with reference to the nature of the job and the time it takes to determine the employee&apos;s suitability for continued employment. The period of probation may only be extended for a reason that relates to the purpose of probation, and the period of extension should not be disproportionate to the legitimate purpose that the employer seeks to achieve. An employer may only decide to extend the probationary period after inviting the employee to make representations and considering them (see sec. 8 (1) of the Code). (see sec. 8 (1) of the Code).<br/>",nan nan
Africa,Zambia,2019,Y,"No statutory provisions on the probationary period. However, note that sec. 26B(4)(d) of the Employment Act excludes employees on probation from termination of the contract of employment on the basis of redundancy. The Minimum Wages and Conditions of Employment (Shop Workers) Order also under Section 6 mentions some provisions only applicable to workers on probationary period, which indicates that it is a lawful legal institution. <br/>",nan nan
