Region,Country,Year,Tenure >=,Category (Severance pay / Redundancy pay),General remarks,Severance pay amount in time
Europe,Czechia,2019,20 years,Severance pay,No statutory severance pay. The pay referred to under Sec. 67(1) LC [referring back to Sec. 52 LC] is addressed under redundancy payment below.<br/>,0.0 month(s)
Europe,Czechia,2019,6 months,Redundancy pay,"Redundancy payment is provided under the conditions laid down in Sec. 67(1) LC referring to Sec. 52 LC.<br/>Before the amendment which came into force in 2012, Sec. 67 LC  referred to &quot;an amount  of at least three times the average earnings&quot; for economic dismissal. New amendments effective as of 2012 state that upon terminating employment that lasted less than one year, employees will be entitled to severance equal to a minimum of their average monthly earnings. If employment lasts at least one year but less than two, employees will be entitled to severance equal to a minimum of double their average earnings.  employment lasts at least two years, employees will be entitled to severance corresponding to a minimum of triple their average earnings.",0.0 month(s)
Europe,Czechia,2019,9 months,Redundancy pay,"Redundancy payment is provided under the conditions laid down in Sec. 67(1) LC referring to Sec. 52 LC.<br/>Before the amendment which came into force in 2012, Sec. 67 LC  referred to &quot;an amount  of at least three times the average earnings&quot; for economic dismissal. New amendments effective as of 2012 state that upon terminating employment that lasted less than one year, employees will be entitled to severance equal to a minimum of their average monthly earnings. If employment lasts at least one year but less than two, employees will be entitled to severance equal to a minimum of double their average earnings.  employment lasts at least two years, employees will be entitled to severance corresponding to a minimum of triple their average earnings.",0.0 month(s)
Europe,Czechia,2019,1 year,Redundancy pay,"Redundancy payment is provided under the conditions laid down in Sec. 67(1) LC referring to Sec. 52 LC.<br/>Before the amendment which came into force in 2012, Sec. 67 LC  referred to &quot;an amount  of at least three times the average earnings&quot; for economic dismissal. New amendments effective as of 2012 state that upon terminating employment that lasted less than one year, employees will be entitled to severance equal to a minimum of their average monthly earnings. If employment lasts at least one year but less than two, employees will be entitled to severance equal to a minimum of double their average earnings.  employment lasts at least two years, employees will be entitled to severance corresponding to a minimum of triple their average earnings.",1.0 month(s)
Europe,Czechia,2019,2 years,Redundancy pay,"Redundancy payment is provided under the conditions laid down in Sec. 67(1) LC referring to Sec. 52 LC.<br/>Before the amendment which came into force in 2012, Sec. 67 LC  referred to &quot;an amount  of at least three times the average earnings&quot; for economic dismissal. New amendments effective as of 2012 state that upon terminating employment that lasted less than one year, employees will be entitled to severance equal to a minimum of their average monthly earnings. If employment lasts at least one year but less than two, employees will be entitled to severance equal to a minimum of double their average earnings.  employment lasts at least two years, employees will be entitled to severance corresponding to a minimum of triple their average earnings.",2.0 month(s)
Europe,Czechia,2019,4 years,Redundancy pay,"Redundancy payment is provided under the conditions laid down in Sec. 67(1) LC referring to Sec. 52 LC.<br/>Before the amendment which came into force in 2012, Sec. 67 LC  referred to &quot;an amount  of at least three times the average earnings&quot; for economic dismissal. New amendments effective as of 2012 state that upon terminating employment that lasted less than one year, employees will be entitled to severance equal to a minimum of their average monthly earnings. If employment lasts at least one year but less than two, employees will be entitled to severance equal to a minimum of double their average earnings.  employment lasts at least two years, employees will be entitled to severance corresponding to a minimum of triple their average earnings.",4.0 month(s)
Europe,Czechia,2019,5 years,Redundancy pay,"Redundancy payment is provided under the conditions laid down in Sec. 67(1) LC referring to Sec. 52 LC.<br/>Before the amendment which came into force in 2012, Sec. 67 LC  referred to &quot;an amount  of at least three times the average earnings&quot; for economic dismissal. New amendments effective as of 2012 state that upon terminating employment that lasted less than one year, employees will be entitled to severance equal to a minimum of their average monthly earnings. If employment lasts at least one year but less than two, employees will be entitled to severance equal to a minimum of double their average earnings.  employment lasts at least two years, employees will be entitled to severance corresponding to a minimum of triple their average earnings.",5.0 month(s)
Europe,Czechia,2019,10 years,Redundancy pay,"Redundancy payment is provided under the conditions laid down in Sec. 67(1) LC referring to Sec. 52 LC.<br/>Before the amendment which came into force in 2012, Sec. 67 LC  referred to &quot;an amount  of at least three times the average earnings&quot; for economic dismissal. New amendments effective as of 2012 state that upon terminating employment that lasted less than one year, employees will be entitled to severance equal to a minimum of their average monthly earnings. If employment lasts at least one year but less than two, employees will be entitled to severance equal to a minimum of double their average earnings.  employment lasts at least two years, employees will be entitled to severance corresponding to a minimum of triple their average earnings.",7.5 month(s)
Europe,Czechia,2019,20 years,Redundancy pay,"Redundancy payment is provided under the conditions laid down in Sec. 67(1) LC referring to Sec. 52 LC.<br/>Before the amendment which came into force in 2012, Sec. 67 LC  referred to &quot;an amount  of at least three times the average earnings&quot; for economic dismissal. New amendments effective as of 2012 state that upon terminating employment that lasted less than one year, employees will be entitled to severance equal to a minimum of their average monthly earnings. If employment lasts at least one year but less than two, employees will be entitled to severance equal to a minimum of double their average earnings.  employment lasts at least two years, employees will be entitled to severance corresponding to a minimum of triple their average earnings.",12.5 month(s)
Europe,Germany,2017,6 months,Severance pay,,0.5 month(s)
Europe,Germany,2017,9 months,Severance pay,,0.75 month(s)
Europe,Germany,2017,1 year,Severance pay,,1.0 month(s)
Europe,Germany,2017,2 years,Severance pay,,2.0 month(s)
Europe,Germany,2017,4 years,Severance pay,,4.0 month(s)
Europe,Germany,2017,5 years,Severance pay,,5.0 month(s)
Europe,Germany,2017,10 years,Severance pay,,10.0 month(s)
Europe,Germany,2017,20 years,Severance pay,,20.0 month(s)
Europe,Germany,2017,6 months,Redundancy pay,"Sec. 1a PADA: an employee dismissed on the basis of urgent operational requirements is entitled to severance pay, the amount of which equal 0.5 months&apos; pay for each year of employment, provided he has not challenged the dismissal within 3 weeks following the notice of termination.<br/><br/>(According to sec. 1a (2) PADA, for the purpose of calculating the length of service in relation to severance pay, a period of more than 6 months should be counted as 1 year.",0.5 month(s)
Europe,Germany,2017,9 months,Redundancy pay,"Sec. 1a PADA: an employee dismissed on the basis of urgent operational requirements is entitled to severance pay, the amount of which equal 0.5 months&apos; pay for each year of employment, provided he has not challenged the dismissal within 3 weeks following the notice of termination.<br/><br/>(According to sec. 1a (2) PADA, for the purpose of calculating the length of service in relation to severance pay, a period of more than 6 months should be counted as 1 year.",0.5 month(s)
Europe,Germany,2017,1 year,Redundancy pay,"Sec. 1a PADA: an employee dismissed on the basis of urgent operational requirements is entitled to severance pay, the amount of which equal 0.5 months&apos; pay for each year of employment, provided he has not challenged the dismissal within 3 weeks following the notice of termination.<br/><br/>(According to sec. 1a (2) PADA, for the purpose of calculating the length of service in relation to severance pay, a period of more than 6 months should be counted as 1 year.",0.5 month(s)
Europe,Germany,2017,2 years,Redundancy pay,"Sec. 1a PADA: an employee dismissed on the basis of urgent operational requirements is entitled to severance pay, the amount of which equal 0.5 months&apos; pay for each year of employment, provided he has not challenged the dismissal within 3 weeks following the notice of termination.<br/><br/>(According to sec. 1a (2) PADA, for the purpose of calculating the length of service in relation to severance pay, a period of more than 6 months should be counted as 1 year.",1.0 month(s)
Europe,Germany,2017,4 years,Redundancy pay,"Sec. 1a PADA: an employee dismissed on the basis of urgent operational requirements is entitled to severance pay, the amount of which equal 0.5 months&apos; pay for each year of employment, provided he has not challenged the dismissal within 3 weeks following the notice of termination.<br/><br/>(According to sec. 1a (2) PADA, for the purpose of calculating the length of service in relation to severance pay, a period of more than 6 months should be counted as 1 year.",2.0 month(s)
Europe,Germany,2017,5 years,Redundancy pay,"Sec. 1a PADA: an employee dismissed on the basis of urgent operational requirements is entitled to severance pay, the amount of which equal 0.5 months&apos; pay for each year of employment, provided he has not challenged the dismissal within 3 weeks following the notice of termination.<br/><br/>(According to sec. 1a (2) PADA, for the purpose of calculating the length of service in relation to severance pay, a period of more than 6 months should be counted as 1 year.",2.5 month(s)
Europe,Germany,2017,10 years,Redundancy pay,"Sec. 1a PADA: an employee dismissed on the basis of urgent operational requirements is entitled to severance pay, the amount of which equal 0.5 months&apos; pay for each year of employment, provided he has not challenged the dismissal within 3 weeks following the notice of termination.<br/><br/>(According to sec. 1a (2) PADA, for the purpose of calculating the length of service in relation to severance pay, a period of more than 6 months should be counted as 1 year.",5.0 month(s)
Europe,Germany,2017,20 years,Redundancy pay,"Sec. 1a PADA: an employee dismissed on the basis of urgent operational requirements is entitled to severance pay, the amount of which equal 0.5 months&apos; pay for each year of employment, provided he has not challenged the dismissal within 3 weeks following the notice of termination.<br/><br/>(According to sec. 1a (2) PADA, for the purpose of calculating the length of service in relation to severance pay, a period of more than 6 months should be counted as 1 year.",10.0 month(s)
Europe,Denmark,2017,6 months,Severance pay,"* White-Collar workers:<br/>Sec. 2a ESEA:<br/>In case of dismissal of a salaried employee having worked continuously in the same enterprise for 12 or 17 years, the employer shall pay a sum corresponding to, respectively, 1 or 3 months&apos; salary.<br/>* Blue-collar workers: no statutory severance pay. Severance pay is regulated by collective agreements.",0.0 month(s)
Europe,Denmark,2017,9 months,Severance pay,"* White-Collar workers:<br/>Sec. 2a ESEA:<br/>In case of dismissal of a salaried employee having worked continuously in the same enterprise for 12 or 17 years, the employer shall pay a sum corresponding to, respectively, 1 or 3 months&apos; salary.<br/>* Blue-collar workers: no statutory severance pay. Severance pay is regulated by collective agreements.",0.0 month(s)
Europe,Denmark,2017,1 year,Severance pay,"* White-Collar workers:<br/>Sec. 2a ESEA:<br/>In case of dismissal of a salaried employee having worked continuously in the same enterprise for 12 or 17 years, the employer shall pay a sum corresponding to, respectively, 1 or 3 months&apos; salary.<br/>* Blue-collar workers: no statutory severance pay. Severance pay is regulated by collective agreements.",0.0 month(s)
Europe,Denmark,2017,2 years,Severance pay,"* White-Collar workers:<br/>Sec. 2a ESEA:<br/>In case of dismissal of a salaried employee having worked continuously in the same enterprise for 12 or 17 years, the employer shall pay a sum corresponding to, respectively, 1 or 3 months&apos; salary.<br/>* Blue-collar workers: no statutory severance pay. Severance pay is regulated by collective agreements.",0.0 month(s)
Europe,Denmark,2017,4 years,Severance pay,"* White-Collar workers:<br/>Sec. 2a ESEA:<br/>In case of dismissal of a salaried employee having worked continuously in the same enterprise for 12 or 17 years, the employer shall pay a sum corresponding to, respectively, 1 or 3 months&apos; salary.<br/>* Blue-collar workers: no statutory severance pay. Severance pay is regulated by collective agreements.",0.0 month(s)
Europe,Denmark,2017,5 years,Severance pay,"* White-Collar workers:<br/>Sec. 2a ESEA:<br/>In case of dismissal of a salaried employee having worked continuously in the same enterprise for 12 or 17 years, the employer shall pay a sum corresponding to, respectively, 1 or 3 months&apos; salary.<br/>* Blue-collar workers: no statutory severance pay. Severance pay is regulated by collective agreements.",0.0 month(s)
Europe,Denmark,2017,10 years,Severance pay,"* White-Collar workers:<br/>Sec. 2a ESEA:<br/>In case of dismissal of a salaried employee having worked continuously in the same enterprise for 12 or 17 years, the employer shall pay a sum corresponding to, respectively, 1 or 3 months&apos; salary.<br/>* Blue-collar workers: no statutory severance pay. Severance pay is regulated by collective agreements.",0.0 month(s)
Europe,Denmark,2017,20 years,Severance pay,"* White-Collar workers:<br/>Sec. 2a ESEA:<br/>In case of dismissal of a salaried employee having worked continuously in the same enterprise for 12 or 17 years, the employer shall pay a sum corresponding to, respectively, 1 or 3 months&apos; salary.<br/>* Blue-collar workers: no statutory severance pay. Severance pay is regulated by collective agreements.",0.0 month(s)
Europe,Denmark,2017,6 months,Redundancy pay,"* White-collar workers: <br/>Economic dismissals are covered by severance pay. There is no specific statutory redundancy payment for collective dismissal.<br/>Sec. 2a ESEA: In case of dismissal of a salaried employee having worked continuously in the same enterprise for 12 or 17 years, the employer shall pay a sum corresponding to, respectively, 1 or 3 months&apos; salary.<br/><br/>* Blue-collar workers: no statutory redundancy payment.",0.0 month(s)
Europe,Denmark,2017,9 months,Redundancy pay,"* White-collar workers: <br/>Economic dismissals are covered by severance pay. There is no specific statutory redundancy payment for collective dismissal.<br/>Sec. 2a ESEA: In case of dismissal of a salaried employee having worked continuously in the same enterprise for 12 or 17 years, the employer shall pay a sum corresponding to, respectively, 1 or 3 months&apos; salary.<br/><br/>* Blue-collar workers: no statutory redundancy payment.",0.0 month(s)
Europe,Denmark,2017,1 year,Redundancy pay,"* White-collar workers: <br/>Economic dismissals are covered by severance pay. There is no specific statutory redundancy payment for collective dismissal.<br/>Sec. 2a ESEA: In case of dismissal of a salaried employee having worked continuously in the same enterprise for 12 or 17 years, the employer shall pay a sum corresponding to, respectively, 1 or 3 months&apos; salary.<br/><br/>* Blue-collar workers: no statutory redundancy payment.",1.0 month(s)
Europe,Denmark,2017,2 years,Redundancy pay,"* White-collar workers: <br/>Economic dismissals are covered by severance pay. There is no specific statutory redundancy payment for collective dismissal.<br/>Sec. 2a ESEA: In case of dismissal of a salaried employee having worked continuously in the same enterprise for 12 or 17 years, the employer shall pay a sum corresponding to, respectively, 1 or 3 months&apos; salary.<br/><br/>* Blue-collar workers: no statutory redundancy payment.",2.0 month(s)
Europe,Denmark,2017,4 years,Redundancy pay,"* White-collar workers: <br/>Economic dismissals are covered by severance pay. There is no specific statutory redundancy payment for collective dismissal.<br/>Sec. 2a ESEA: In case of dismissal of a salaried employee having worked continuously in the same enterprise for 12 or 17 years, the employer shall pay a sum corresponding to, respectively, 1 or 3 months&apos; salary.<br/><br/>* Blue-collar workers: no statutory redundancy payment.",4.0 month(s)
Europe,Denmark,2017,5 years,Redundancy pay,"* White-collar workers: <br/>Economic dismissals are covered by severance pay. There is no specific statutory redundancy payment for collective dismissal.<br/>Sec. 2a ESEA: In case of dismissal of a salaried employee having worked continuously in the same enterprise for 12 or 17 years, the employer shall pay a sum corresponding to, respectively, 1 or 3 months&apos; salary.<br/><br/>* Blue-collar workers: no statutory redundancy payment.",5.0 month(s)
Europe,Denmark,2017,10 years,Redundancy pay,"* White-collar workers: <br/>Economic dismissals are covered by severance pay. There is no specific statutory redundancy payment for collective dismissal.<br/>Sec. 2a ESEA: In case of dismissal of a salaried employee having worked continuously in the same enterprise for 12 or 17 years, the employer shall pay a sum corresponding to, respectively, 1 or 3 months&apos; salary.<br/><br/>* Blue-collar workers: no statutory redundancy payment.",7.5 month(s)
Europe,Denmark,2017,20 years,Redundancy pay,"* White-collar workers: <br/>Economic dismissals are covered by severance pay. There is no specific statutory redundancy payment for collective dismissal.<br/>Sec. 2a ESEA: In case of dismissal of a salaried employee having worked continuously in the same enterprise for 12 or 17 years, the employer shall pay a sum corresponding to, respectively, 1 or 3 months&apos; salary.<br/><br/>* Blue-collar workers: no statutory redundancy payment.",12.5 month(s)
Africa,Algeria,2019,6 months,Severance pay,"No statutory severance pay in the LRA.<br/>However, under the Collective Framework Agreement of 2006, an employee is entitled to severance pay : 1) if he/she is dismissed for reasons not connected with the commission of a serious misconduct and 2) if he/she has at least 2 years of service with the same employer.<br/>The amount of <b>severance pay cannot be less than 15 days&apos; wages per year of service</b>, calculated on the basis of the last salary.<br/>__________________<br/>Pas de disposition à ce sujet dans la LRA. Toutefois, l&apos;article 63 de la Convention collective de 2006 dispose que &quot;le salarié licencié pour d’autres motifs que la commission d’une faute professionnelle grave et justifiant d’une ancienneté d’au moins deux (02) ans au service du même employeur, ouvre droit à <b>une indemnité de licenciement qui ne peut être inférieure à quinze (15) jours par année d’ancienneté</b>, calculée sur la base de sa dernière rémunération, inclus les primes et indemnités liées au poste de travail.&quot;<br/><br/>",0.0 month(s)
Africa,Algeria,2019,9 months,Severance pay,"No statutory severance pay in the LRA.<br/>However, under the Collective Framework Agreement of 2006, an employee is entitled to severance pay : 1) if he/she is dismissed for reasons not connected with the commission of a serious misconduct and 2) if he/she has at least 2 years of service with the same employer.<br/>The amount of <b>severance pay cannot be less than 15 days&apos; wages per year of service</b>, calculated on the basis of the last salary.<br/>__________________<br/>Pas de disposition à ce sujet dans la LRA. Toutefois, l&apos;article 63 de la Convention collective de 2006 dispose que &quot;le salarié licencié pour d’autres motifs que la commission d’une faute professionnelle grave et justifiant d’une ancienneté d’au moins deux (02) ans au service du même employeur, ouvre droit à <b>une indemnité de licenciement qui ne peut être inférieure à quinze (15) jours par année d’ancienneté</b>, calculée sur la base de sa dernière rémunération, inclus les primes et indemnités liées au poste de travail.&quot;<br/><br/>",0.0 month(s)
Africa,Algeria,2019,1 year,Severance pay,"No statutory severance pay in the LRA.<br/>However, under the Collective Framework Agreement of 2006, an employee is entitled to severance pay : 1) if he/she is dismissed for reasons not connected with the commission of a serious misconduct and 2) if he/she has at least 2 years of service with the same employer.<br/>The amount of <b>severance pay cannot be less than 15 days&apos; wages per year of service</b>, calculated on the basis of the last salary.<br/>__________________<br/>Pas de disposition à ce sujet dans la LRA. Toutefois, l&apos;article 63 de la Convention collective de 2006 dispose que &quot;le salarié licencié pour d’autres motifs que la commission d’une faute professionnelle grave et justifiant d’une ancienneté d’au moins deux (02) ans au service du même employeur, ouvre droit à <b>une indemnité de licenciement qui ne peut être inférieure à quinze (15) jours par année d’ancienneté</b>, calculée sur la base de sa dernière rémunération, inclus les primes et indemnités liées au poste de travail.&quot;<br/><br/>",21.0 day(s)
Africa,Algeria,2019,2 years,Severance pay,"No statutory severance pay in the LRA.<br/>However, under the Collective Framework Agreement of 2006, an employee is entitled to severance pay : 1) if he/she is dismissed for reasons not connected with the commission of a serious misconduct and 2) if he/she has at least 2 years of service with the same employer.<br/>The amount of <b>severance pay cannot be less than 15 days&apos; wages per year of service</b>, calculated on the basis of the last salary.<br/>__________________<br/>Pas de disposition à ce sujet dans la LRA. Toutefois, l&apos;article 63 de la Convention collective de 2006 dispose que &quot;le salarié licencié pour d’autres motifs que la commission d’une faute professionnelle grave et justifiant d’une ancienneté d’au moins deux (02) ans au service du même employeur, ouvre droit à <b>une indemnité de licenciement qui ne peut être inférieure à quinze (15) jours par année d’ancienneté</b>, calculée sur la base de sa dernière rémunération, inclus les primes et indemnités liées au poste de travail.&quot;<br/><br/>",42.0 day(s)
Africa,Algeria,2019,4 years,Severance pay,"No statutory severance pay in the LRA.<br/>However, under the Collective Framework Agreement of 2006, an employee is entitled to severance pay : 1) if he/she is dismissed for reasons not connected with the commission of a serious misconduct and 2) if he/she has at least 2 years of service with the same employer.<br/>The amount of <b>severance pay cannot be less than 15 days&apos; wages per year of service</b>, calculated on the basis of the last salary.<br/>__________________<br/>Pas de disposition à ce sujet dans la LRA. Toutefois, l&apos;article 63 de la Convention collective de 2006 dispose que &quot;le salarié licencié pour d’autres motifs que la commission d’une faute professionnelle grave et justifiant d’une ancienneté d’au moins deux (02) ans au service du même employeur, ouvre droit à <b>une indemnité de licenciement qui ne peut être inférieure à quinze (15) jours par année d’ancienneté</b>, calculée sur la base de sa dernière rémunération, inclus les primes et indemnités liées au poste de travail.&quot;<br/><br/>",84.0 day(s)
Africa,Algeria,2019,5 years,Severance pay,"No statutory severance pay in the LRA.<br/>However, under the Collective Framework Agreement of 2006, an employee is entitled to severance pay : 1) if he/she is dismissed for reasons not connected with the commission of a serious misconduct and 2) if he/she has at least 2 years of service with the same employer.<br/>The amount of <b>severance pay cannot be less than 15 days&apos; wages per year of service</b>, calculated on the basis of the last salary.<br/>__________________<br/>Pas de disposition à ce sujet dans la LRA. Toutefois, l&apos;article 63 de la Convention collective de 2006 dispose que &quot;le salarié licencié pour d’autres motifs que la commission d’une faute professionnelle grave et justifiant d’une ancienneté d’au moins deux (02) ans au service du même employeur, ouvre droit à <b>une indemnité de licenciement qui ne peut être inférieure à quinze (15) jours par année d’ancienneté</b>, calculée sur la base de sa dernière rémunération, inclus les primes et indemnités liées au poste de travail.&quot;<br/><br/>",105.0 day(s)
Africa,Algeria,2019,10 years,Severance pay,"No statutory severance pay in the LRA.<br/>However, under the Collective Framework Agreement of 2006, an employee is entitled to severance pay : 1) if he/she is dismissed for reasons not connected with the commission of a serious misconduct and 2) if he/she has at least 2 years of service with the same employer.<br/>The amount of <b>severance pay cannot be less than 15 days&apos; wages per year of service</b>, calculated on the basis of the last salary.<br/>__________________<br/>Pas de disposition à ce sujet dans la LRA. Toutefois, l&apos;article 63 de la Convention collective de 2006 dispose que &quot;le salarié licencié pour d’autres motifs que la commission d’une faute professionnelle grave et justifiant d’une ancienneté d’au moins deux (02) ans au service du même employeur, ouvre droit à <b>une indemnité de licenciement qui ne peut être inférieure à quinze (15) jours par année d’ancienneté</b>, calculée sur la base de sa dernière rémunération, inclus les primes et indemnités liées au poste de travail.&quot;<br/><br/>",255.0 day(s)
Africa,Algeria,2019,20 years,Severance pay,"No statutory severance pay in the LRA.<br/>However, under the Collective Framework Agreement of 2006, an employee is entitled to severance pay : 1) if he/she is dismissed for reasons not connected with the commission of a serious misconduct and 2) if he/she has at least 2 years of service with the same employer.<br/>The amount of <b>severance pay cannot be less than 15 days&apos; wages per year of service</b>, calculated on the basis of the last salary.<br/>__________________<br/>Pas de disposition à ce sujet dans la LRA. Toutefois, l&apos;article 63 de la Convention collective de 2006 dispose que &quot;le salarié licencié pour d’autres motifs que la commission d’une faute professionnelle grave et justifiant d’une ancienneté d’au moins deux (02) ans au service du même employeur, ouvre droit à <b>une indemnité de licenciement qui ne peut être inférieure à quinze (15) jours par année d’ancienneté</b>, calculée sur la base de sa dernière rémunération, inclus les primes et indemnités liées au poste de travail.&quot;<br/><br/>",555.0 day(s)
Africa,Algeria,2019,6 months,Redundancy pay,"Redundancy pay is regulated by the Legislative Decree No 94-09.<br/>Art. 22 of the Decree provides that in the case of a dismissal resulting from a workforce reduction, the employer has to pay to any worker who is entited to the social security regime of unemployment, an amount equivalent to 3 months&apos; wages.<br/>_______________________<br/>L&apos;indemnité de licenciement est régie par le Décret No.94-09. L&apos;article 22 du Décret prévoit que &quot;le salarié ayant fait l&apos;objet d&apos;un licenciement dans le cadre d&apos;une compression d&apos;effectif et qui bénéficie d&apos;une admission au régime d&apos;assurance chômage ouvre droit à une indemnité égale à trois (03) mois de salaire à la charge de l&apos;employeur. Elle est versée au moment du licenciement.&quot;",0.0 month(s)
Africa,Algeria,2019,9 months,Redundancy pay,"Redundancy pay is regulated by the Legislative Decree No 94-09.<br/>Art. 22 of the Decree provides that in the case of a dismissal resulting from a workforce reduction, the employer has to pay to any worker who is entited to the social security regime of unemployment, an amount equivalent to 3 months&apos; wages.<br/>_______________________<br/>L&apos;indemnité de licenciement est régie par le Décret No.94-09. L&apos;article 22 du Décret prévoit que &quot;le salarié ayant fait l&apos;objet d&apos;un licenciement dans le cadre d&apos;une compression d&apos;effectif et qui bénéficie d&apos;une admission au régime d&apos;assurance chômage ouvre droit à une indemnité égale à trois (03) mois de salaire à la charge de l&apos;employeur. Elle est versée au moment du licenciement.&quot;",0.0 month(s)
Africa,Algeria,2019,1 year,Redundancy pay,"Redundancy pay is regulated by the Legislative Decree No 94-09.<br/>Art. 22 of the Decree provides that in the case of a dismissal resulting from a workforce reduction, the employer has to pay to any worker who is entited to the social security regime of unemployment, an amount equivalent to 3 months&apos; wages.<br/>_______________________<br/>L&apos;indemnité de licenciement est régie par le Décret No.94-09. L&apos;article 22 du Décret prévoit que &quot;le salarié ayant fait l&apos;objet d&apos;un licenciement dans le cadre d&apos;une compression d&apos;effectif et qui bénéficie d&apos;une admission au régime d&apos;assurance chômage ouvre droit à une indemnité égale à trois (03) mois de salaire à la charge de l&apos;employeur. Elle est versée au moment du licenciement.&quot;",21.0 day(s)
Africa,Algeria,2019,2 years,Redundancy pay,"Redundancy pay is regulated by the Legislative Decree No 94-09.<br/>Art. 22 of the Decree provides that in the case of a dismissal resulting from a workforce reduction, the employer has to pay to any worker who is entited to the social security regime of unemployment, an amount equivalent to 3 months&apos; wages.<br/>_______________________<br/>L&apos;indemnité de licenciement est régie par le Décret No.94-09. L&apos;article 22 du Décret prévoit que &quot;le salarié ayant fait l&apos;objet d&apos;un licenciement dans le cadre d&apos;une compression d&apos;effectif et qui bénéficie d&apos;une admission au régime d&apos;assurance chômage ouvre droit à une indemnité égale à trois (03) mois de salaire à la charge de l&apos;employeur. Elle est versée au moment du licenciement.&quot;",42.0 day(s)
Africa,Algeria,2019,4 years,Redundancy pay,"Redundancy pay is regulated by the Legislative Decree No 94-09.<br/>Art. 22 of the Decree provides that in the case of a dismissal resulting from a workforce reduction, the employer has to pay to any worker who is entited to the social security regime of unemployment, an amount equivalent to 3 months&apos; wages.<br/>_______________________<br/>L&apos;indemnité de licenciement est régie par le Décret No.94-09. L&apos;article 22 du Décret prévoit que &quot;le salarié ayant fait l&apos;objet d&apos;un licenciement dans le cadre d&apos;une compression d&apos;effectif et qui bénéficie d&apos;une admission au régime d&apos;assurance chômage ouvre droit à une indemnité égale à trois (03) mois de salaire à la charge de l&apos;employeur. Elle est versée au moment du licenciement.&quot;",84.0 day(s)
Africa,Algeria,2019,5 years,Redundancy pay,"Redundancy pay is regulated by the Legislative Decree No 94-09.<br/>Art. 22 of the Decree provides that in the case of a dismissal resulting from a workforce reduction, the employer has to pay to any worker who is entited to the social security regime of unemployment, an amount equivalent to 3 months&apos; wages.<br/>_______________________<br/>L&apos;indemnité de licenciement est régie par le Décret No.94-09. L&apos;article 22 du Décret prévoit que &quot;le salarié ayant fait l&apos;objet d&apos;un licenciement dans le cadre d&apos;une compression d&apos;effectif et qui bénéficie d&apos;une admission au régime d&apos;assurance chômage ouvre droit à une indemnité égale à trois (03) mois de salaire à la charge de l&apos;employeur. Elle est versée au moment du licenciement.&quot;",105.0 day(s)
Africa,Algeria,2019,10 years,Redundancy pay,"Redundancy pay is regulated by the Legislative Decree No 94-09.<br/>Art. 22 of the Decree provides that in the case of a dismissal resulting from a workforce reduction, the employer has to pay to any worker who is entited to the social security regime of unemployment, an amount equivalent to 3 months&apos; wages.<br/>_______________________<br/>L&apos;indemnité de licenciement est régie par le Décret No.94-09. L&apos;article 22 du Décret prévoit que &quot;le salarié ayant fait l&apos;objet d&apos;un licenciement dans le cadre d&apos;une compression d&apos;effectif et qui bénéficie d&apos;une admission au régime d&apos;assurance chômage ouvre droit à une indemnité égale à trois (03) mois de salaire à la charge de l&apos;employeur. Elle est versée au moment du licenciement.&quot;",255.0 day(s)
Africa,Algeria,2019,20 years,Redundancy pay,"Redundancy pay is regulated by the Legislative Decree No 94-09.<br/>Art. 22 of the Decree provides that in the case of a dismissal resulting from a workforce reduction, the employer has to pay to any worker who is entited to the social security regime of unemployment, an amount equivalent to 3 months&apos; wages.<br/>_______________________<br/>L&apos;indemnité de licenciement est régie par le Décret No.94-09. L&apos;article 22 du Décret prévoit que &quot;le salarié ayant fait l&apos;objet d&apos;un licenciement dans le cadre d&apos;une compression d&apos;effectif et qui bénéficie d&apos;une admission au régime d&apos;assurance chômage ouvre droit à une indemnité égale à trois (03) mois de salaire à la charge de l&apos;employeur. Elle est versée au moment du licenciement.&quot;",555.0 day(s)
Americas,Ecuador,2019,6 months,Severance pay,"According to articles 185 and 188 of Labour Code, severance pay shall be paid considering lenght of service:<br/>1) Up to three years of service, with the value corresponding to three months of remuneration; and,<br/>(2) Over three years, with the value equivalent to one month of remuneration for each year of service, without in any case that value exceeding twenty-five months of remuneration.<br/><br/>Bonus for “desahucio” is due in the amounts to 25% of last monthly salary per year of service (which would be paid in case of desahucio according to article 184 of Labour Code).<br/><br/>If dismissal is for an alleged just cause but the prior approval (“visto bueno”) of Labour Inspector is denied, then an additional amount of one monthly salary deposited by the employer is paid to the employee, in addition to severance pay and bonus for desahucio. This situation only applies if the employer requests the suspension of the employee during the prior approval (“visto bueno”) procedure.",0.0 month(s)
Americas,Ecuador,2019,9 months,Severance pay,"According to articles 185 and 188 of Labour Code, severance pay shall be paid considering lenght of service:<br/>1) Up to three years of service, with the value corresponding to three months of remuneration; and,<br/>(2) Over three years, with the value equivalent to one month of remuneration for each year of service, without in any case that value exceeding twenty-five months of remuneration.<br/><br/>Bonus for “desahucio” is due in the amounts to 25% of last monthly salary per year of service (which would be paid in case of desahucio according to article 184 of Labour Code).<br/><br/>If dismissal is for an alleged just cause but the prior approval (“visto bueno”) of Labour Inspector is denied, then an additional amount of one monthly salary deposited by the employer is paid to the employee, in addition to severance pay and bonus for desahucio. This situation only applies if the employer requests the suspension of the employee during the prior approval (“visto bueno”) procedure.",0.0 month(s)
