Region,Country,Year,"Compensation for unfair dismissal - free determination by court","Compensation for unfair dismissal - Legal limits (ceiling in months or calculation method)","Reinstatement available","Preliminary mandatory conciliation","Competent court(s) / tribunal(s)","Existing arbitration","Length of procedure","Length of procedure - unit","Statutory length of procedure","% of dismissals out of the total number of disputes","General remarks"
Asia,Japan,2019,N,"Unfair/Abusive dismissal: compensation in lieu of reinstatement is not a statutory remedy.  However, monetary orders/settlements can be rendered by the ordinary courts, labour tribunal procedures, and administrative conciliation.  The courts usually render judgement prescribing reinstatement when they find the dismissal cases abusive under the doctrine of abusive dismissal.  The courts also order together with reinstatement, payment of unpaid wages, plus interest, between the date of dismissal and the date of final oral argument before the court, and order continuation of monthly payment accruing each month after the date of final oral argument until the issuance of the judgment. <br/>However, the courts also render monetary settlements when it is difficult in practice for workers to return to work due to the deterioration of their relationship with the employers.  Labour tribunal procedures are preferred by workers who seek monetary awards or settlements without reinstatement.  Monetary settlements are also possible through administrative conciliation/mediation, but the amount obtained is usually lowered than the amount that can be obtained through labour tribunal procedures.  <br/>_____________<br/>See Tadashi A. Hanami, Fumito Komiya, Yamakawa, R.: &quot;Japan&quot;, in R. Blanpain (ed.): International encyclopaedia for labour law and industrial relations (The Hague, Kluwer Law International, 2015; and Yamakawa, R. u201cJapanu201d in ILO (2016) Resolving individual labour disputes: a comparative overview.",Y,Y,"labour court",N,,,,,"The parties can choose to access any of the following bodies:<br/><br/><b>Ordinary courts</b> : workers who wish to obtain reinstatement tend to access ordinary courts.  <br/><br/><b>Labour tribunal procedures within the ordinary courts (the Labour Tribunal Act): </b>the Labour Tribunal Panel within Districts Court consisting of a judge and two lay members appointed based on the recommendation of employers’ and workers’ organizations.  The panel initially tries to resolve labour disputes through  mediation and in the case settlement is not reached, it then proceeds to the adjudication the case and renders an award.  The award is binding and enforceable unless one of the parties files an objection.  If either party objects, the award loses its effect and the case is automatically referred to a civil court and treated as ordinary civil litigation.  <br/><br/><b>Dispute adjustment commission</b> established in each prefecture under the Individual Labour-Related Disputes Act offers conciliation that can be initiated at the request of both parties..  Local Labour Relations Commissions (LLRC) which were originally established under the Trade Union Act also offer conciliation for individual labour disputes.  The LLRCs comprise members representing employers’ and workers’ organizations and those representing public interests (labour law and industrial relations experts). However, not all the LLRCs provide conciliation for individual labour disputes.   Each commission is composed of neutral experts on labour and employment laws.  Prefectural local bureaus also provide counselling and information services, administrative guidance or recommendations to the disputing parties to facilitate voluntary resolution of disputes by the parties themselves.  For termination disputes involving discrimination and power harassment, the commission conducts mediation in which the commissions make proposals for dispute resolution. Mediation can be initiated at the request of one of the disputing parties. <br/><br/><b>Local labour inspection offices within prefectural labour bureau: </b>while the labour inspectorates are responsible for compliance with the LSA and do not have the function of resolving individual labour disputes, they play a role in prevention individual labour disputes through monitoring and correcting violations of statutory provisions regulating termination of employment, including illegal dismissal through recommendations and enforcement (e.g. dismissals without notice, employers’ obligations to draw up work rules) under the LSA.  Workers can also turn to the labour inspectorates (sec. 104 of LSA)  Sec. 104 of LSA provides that in the event that a violation of this Act or of an ordinance issued pursuant to this Act exists at a workplace, a worker may report such fact to the relevant government agency or to a labour standards inspector.  Sec. 102(2) of LSA: employers shall not dismiss a worker or shall not give a worker other disadvantageous treatment by reason of such worker having made a report set forth in the preceding paragraph.<br/><br/>Moreover, collective agreements which may have grievance procedures and joint consultation procedures between employers and enterprise-based unions play an important role in preventing disputes in unionized workplaces.  However, the role of collective agreements and joint consultation has weakened due to the decline in union density.  <br/>________<br/>See Yamakawa, R. “Japan” in ILO (2016) Resolving individual labour disputes: a comparative overview."
Europe,Kyrgyzstan,2019,N,"Art. 423 LC<br/><br/>However in the cases of dismissal without a legal basis or with a violation of the established procedure for dismissal or illegal transfer to another job, the court is entitled, at the request of the employee, to make a decision to compensate the employee for the moral harm caused to him by such actions. The amount of this compensation is determined by the court.",Y,N,"labour court",N,,,,,"Art. 421 LC"
Asia,Cambodia,2018,Y,"Art. 94 LC: The amount of damages is fixed by the Court, in light of the local custom, the type and importance of the services rendered, the employee&apos;s seniority and age, any deductions or payments made to a retirement plan, and other circumstances establishing the existence and the extent of the harm incurred.  Instead of providing proof of damages in court, the worker can ask for a lump sum payment equal in amount to the indemnity for dismissal (Art. 91 LC).<br/><br/>",Y,N,"administrative body",Y,,,,,"See Article 387 LC: Labour courts shall be created that have jurisdiction over the individual disputes occurring between workers and employers regarding the execution of the labour contract or the apprenticeship contract.<br/><br/>However, labour courts have not been established yet. Pending the creation of those Courts, ordinary courts have jurisdiction over labour disputes pursuant to art. 389 LC.<br/>"
Africa,Comoros,2019,Y,"Article 44 of the Labour Code",Y,Y,"ordinary courts",N,,,,,"Articles 44 and 212 of the Labour Code (former art.46 and 192)."
Asia,"Korea, Republic of",2019,Y,"Art. 28 LSA<br/>Art. 82 Trade Union and Labor Relation Adjustment Act (TULRAA)",Y,N,"labour court",Y,,,,,"The competent body to hear and adjudicate rights and interests disputes arising out of the employment relationship, including unfair dismissals is the Labor Relations Commission. It is a quasi-judicial governmental body which is affiliated to the Ministry of Labor and composed of tripartite representatives: workers, employers and public interests.<br/>See art. 28 LSA, 82 TULRAA, and the Labor Relations Commission Act of 1997, as last amended in May 2007."
Europe,Kazakhstan,2019,N,"Art. 177 of the Labour Code states that compensation is an alternative measure to dismissal only when an employee demands so. The compensation amounts to the payback of wages between the date of dismissal and the date of reinstatement, but not more than six monthly wages. In case of reinstatement, the employee is still entitled to this payback.",Y,Y,"labour court",,,,,,"Art. 159 of the Labour Code"
Americas,"Saint Lucia",2017,Y,"Section 419 and 420 Labour Act: <br/>sec 419: Where the Labour Commissioner makes a statement of finding in accordance with section 415, he or she may recommend an appropriate remedy and in particular may - <br/>(a) in an unfair dismissal matter, recommend the payment of a sum of money equal to the loss of remuneration sustained from the date of dismissal.<br/><br/>If the recommended remedy is accepted by both parties, the remedy shall be registered by the Tribunal within three weeks and shall become binding as an award of the Tribunal. If not, the recommendation shall be forwarded to the Tribunal, which, in its discretion will accept or substitute the recommendation (section 420 Labour Code) <br/>",Y,N,"labour court",Y,,,,,"In individual disputes, the Labour Commissioner, part of the Department of Labour, has even more power to solve disputes (see section 403, 404 and 404 for collective disputes). Labour Commissioner will act as a first instance, and the matter will only be referred to the Tribunal in certain limited circumstances. <br/><br/>Section 410 Labour Act: (1) Except where provision is made under this Code for a complaint to be addressed directly to the Tribunal, any complaint made by an individual, alleging a contravention of any of the provisions of this Code, shall be made to the Labour Commissioner in first instance.  (2) Upon receipt of a compliant under subsection (1), the Labour Commissioner may refer the matter to the Tribunal for determination. <br/>Section 417 Labour Act: (1) Subject to subsection (2), where a decision of an individual dispute has been made by the Labour Commissioner, that decision shall be final and binding. <br/>(2) Subsection (1) shall not apply where the matter is referred to the Tribunal for review. <br/><br/>Regarding the Labour Tribunal,<br/>Section 424. There is hereby established a tribunal to be known as the Labour Tribunal which shall have jurisdiction to hear and decide all matters referred to it in accordance with this Code. <br/>"
Asia,"Sri Lanka",2019,N,"1) No compensation in lieu of reinstatement awarded by the Labour Commissioner under the TEWA except in the event of closure of the enterprise, in which case compensation awarded is subject to legal limits (secs. 5, 6 and 6A TEWA - see below).<br/><br/>2) Under the IDA, there are no limits on compensation awarded by the Labour Tribunal: see sec. 31C(4) and 31C(6)(c).",Y,N,"ordinary courts",Y,2,month(s),Y,,"- Complaints alleging any violation of the TEWA shall be brought before the Labour Commissioner within 6 months from the date of the dismissal (sec. 6 and sec. 6B TEWA, as amended in 2008 (previously 3 months).<br/>Complaints relating to the enforcement of the Labour Commissioner&apos;s payment orders rest with the Magistrate&apos;s Court. <br/>- Pursuant to the IDA, the labour tribunals have jurisdiction over applications concerning employment termination by the employer and payment of gratuity or other benefits arising from that termination provided that such applications are made within 6 months from the date of termination (sec. 31B(1) and sec. 31B(7) IDA, as amended in 2008 (previously 3 months)."
Africa,Lesotho,2019,Y,"Art. 73 LC: Compensation is awarded if the court decides that reinstatement is impracticable for the employer or if the employee does not wish to be reinstated. The amount of  compensation shall be such amount as the court considers just and equitable. Mitigation of loss is the main criterion to decide the amount of compensation.",Y,Y,"labour court",Y,,,,,"The 2000 Labour Code Amendment Act introduced important changes in the LC with regards to dispute settlement. <br/>Pursuant to article 226 LC (amended by article 25 of the 2000 Amendment Act), jurisdiction to resolve dismissal disputes of right is now shared between the Labour Court and arbitration, as follows:<br/>- The Labour Court shall have exclusive jurisdiction in disputes concerning an unfair dismissal if the reason for the dismissal is (art. 226 (1) LC):<br/>i) for participation in a strike; <br/>ii) as a consequence of a lock-out; or<br/>iii) related to the operational requirements of the employer.<br/>Note that the Labour Court also has exclusive jurisdiction on unfair labour practices and  on disputes concerning the application or interpretation of any provision of the Labour Code or any other labour law unless the disputes concerns a matter that shall be exclusively resolved by arbitration as provided in art. 226 (2) LC.<br/>- A dispute concerning an unfair dismissal for any reason other than a reason referred to above (see i), ii), iii)) shall be resolved by arbitration. Therefore, a dispute concerning dismissal for reasons relating to the conduct of the employee or its capacity is to be solved by an arbitrator. <br/>In addition, arbitration applies to : a dispute referred by agreement; a dispute concerning the application of a collective agreement, a breach of a contract of employment, a wages order and a dispute concerning the underpayment of any monies due under the Labour Code. (art. 226 (2) LC)<br/>- Any dispute should be firstly referred to by any party to the Directorate of Dispute Prevention and Resolution (DDPR) in charge of referring the dispute to the competent body (Labour Court or arbitrator) in accordance with the above-mentioned rules (art. 227  LC). However, would the Director of the DDPR consider that a dispute that concerns matters for which arbitration is foreseen also concerns matters that fall within the jurisdiction of the Labour Court, he could refer the case to that Court (art. 226 (3) LC).<br/>In addition, the Labour Court can always review the arbitration award on application by one of the parties."
Europe,Luxembourg,2019,Y,"Art. L 124-12 (1) LC: free determination by the Court when dismissal is not justified by genuine and serious reasons.<br/>However, in case of non-respect of a fundamental procedural requirement,  compensation awarded by the judge shall not exceed 1 month&apos;s wages.: art. L 124-12 (3) LC.<br/>______________________<br/>Art. L. 124-12 du Code du travail:<br/>(1) Lorsquu2019elle juge quu2019il y a usage abusif du droit de ru00e9silier le contrat de travail u00e0 duru00e9e indu00e9terminu00e9e, la juridiction du travail condamne lu2019employeur u00e0 verser au salariu00e9 des dommages et intu00e9ru00eats compte tenu du dommage subi par lui du fait de son licenciement. (...)<br/>(3) La juridiction du travail qui conclut u00e0 lu2019irru00e9gularitu00e9 formelle du licenciement en raison de la violation du2019une formalitu00e9 quu2019elle juge substantielle doit examiner le fond du litige et condamner lu2019employeur, si elle juge que le licenciement nu2019est pas abusif quant au fond, u00e0 verser au salariu00e9 une indemnitu00e9 qui ne peut u00eatre supu00e9rieure u00e0 un mois de salaire. Lu2019indemnitu00e9 visu00e9e u00e0 lu2019alinu00e9a qui pru00e9cu00e8de ne peut u00eatre accordu00e9e lorsque la juridiction du travail juge le licenciement abusif quant au fond.",Y,N,"labour court",N,,,,,"Art. L 124-11 (2) LC."
Africa,Morocco,2019,N,"Art. 41 LC",Y,N,"labour court",N,,,,,"Art. 41 LC refers to the competent tribunal. No labour court in Morocco."
Europe,"Moldova, Republic of",2017,N,"Art. 90 LC",Y,N,"ordinary courts",N,40,day(s),Y,,"Art. 355 LC"
Europe,Montenegro,2020,Y,"Article 180 (1) Against the decision of termination of employment, the employee may initiate proceedings within 15 days from the day of delivery of the decision, before the bodies referred to in Article 140 of this Law (amicable dispute resolution agency). (5) If in the procedure referred to in paragraph 1 of this Article it is determined that there were no legal or justified reasons for termination of the employment contract, whether the employer prescribed them by his act or provided by the employment contract, the employee has the right to return to work, as well as the right to compensation for material and non-material damage, in the procedure provided by law.",Y,Y,"labour court",Y,,,,,"Basic courts are responsible for deciding in cases of first instance in civil, labour and criminal cases, according article 16 of Law 5/2002 on the Courts.<br/>Article 16 The basic court shall have jurisdiction (3) In labour law cases to judge at first instance the disputes related to: a) employment rights; b) conclusion and application of collective contracts, as well as all disputes between the employer and trade unions; c) application of the rules on strike;<br/>d) appointment and removal of bodies in companies and other legal entities."
Africa,Madagascar,2019,Y,"Art. 20 LC.",N,Y,"ordinary courts",N,,,,,"Art. 205 LC."
Europe,"North Macedonia",2017,Y,"Art. 102.5 LRA, with the 2012 amendment has been renumbered as Art. 102.4 LRA and modified to state that  when the court establishes that the dismissal was unlawful and it is unacceptable for the employee to be reinstated, the court, at the employee&apos;s request, shall specify the date of termination of employment and will oblige the employer to pay wages in accordance with paragraph 2 of the same article. Art. 102.2 LRA, also brought with the 2012 amendment, states that in addition to the return to work, the employer shall pay the employee the gross salary which the employee would have taken if he/she was at work in accordance with the law, the collective agreement and employment contract, reduced by the amount of income that the employee has achieved on the basis of work after the termination of employment.<br/>According to the previous regulation before the 2012 amendment, when the court would establish that the dismissal was unlawful and if the employee would find unacceptable the reinstatement, the court, at the employee&apos;s request, had to fix the date of termination of employment and award compensation depending on the employee&apos;s length of service, age, social status and family responsibilities.(previously art. 102(5)LRA).",Y,N,"labour court",Y,,,Y,,"Art. 91 and 93 LRA (&quot;competent court&quot;)."
Asia,Mongolia,2017,N,,Y,N,"ordinary courts",N,,,,,"Individual labour disputes are either settled by the Labour Dispute Settlement Commission or by ordinary courts. According to art. 128.1.2 LC, ordinary courts have exclusive jurisdiction over wrongful dismissal complaints (art. 128 LC). Any such dispute shall be referred to the court within 1 month from the receipt of the employer&apos;s dismissal decision."
Africa,Malawi,2019,N,"Art. 63(4) and (5) EA. The amount of  compensation shall be such amount as the court considers just and equitable  in the circumstances. However, statutory minimum thresholds are foreseen in art. 63 (5) of the EA.",Y,Y,"ordinary courts",N,,,,65,"Art. 62(1), 64 and 65 EA.<br/>See also the part on dispute settlement (art. 42-45) of the Labour Relations Act, 1996"
Americas,Mexico,2019,N,"Art. 48 and 50 FLA (articles modified in November 2012)",Y,Y,"ordinary courts",N,,,,,"Art. 123 (A)( XX)of the Mexican Constitution, 604 FLA.<br/><br/>In Mexico, employment disputes are heard by labour tribunals/courts (Judiciary at the local (state) or federal level. They can be heard by the Federal or Local courts according to distribution of competencies –by industry/services, type of enterprises, and subjects (Art. 123 (A) (XXXI), Art.527-529 FLA)<br/><br/>Article 604 FLA: The Labour courts of the federal or state judiciary branch, in the scope of their competencies, will hear and resolve labour related to employment relationships or facts related to them, arising between workers and employers, between several workers or between several employers. This is a tripartite body that exercises jurisdictional functions. See Art. 605 for composition and structural organization. <br/><br/>Note: The Constitutional reform to replace the Conciliation and Arbitration Boards with labour courts was adopted in February 2017, and the FLA reform in May 2019.  Courts will begin their functions within a maximum period of 4 years from May 1, 2019. During this transition period, Conciliation and Arbitration Boards will continue to resolve disputes."
Asia,Malaysia,2018,Y,"The IRA does not expressly refer to legal limits (see provisions on the court&apos;s award: sec. 20 (2) and (3) and 30 IRA).",Y,Y,"ordinary courts",N,30,day(s),Y,,"The judicial body competent to hear cases of unfair dismissal is the industrial court (sec. 20 (3) and 30 IRA)<br/>The employee who considers to have been dismissed without &quot;just cause or excuse&quot; first has to make representations to the Industrial Relations Department for reinstatement. If no settlement, including by conciliation, is possible, the Department will report the matter to the Minister, who may refer the matter to the Industrial Court (sec. 20 IRA)<br/><br/>Alternatively, an employee can bring a civil action for damages in respect of wrongful dismissal before the civil courts. However, a decision issued by the Industrial Court on unfair dismissal shall operate as a bar to any action for damages by the employee in any court in respect of wrongful dismissal.(sec. 20 (4) IRA).<br/>"
Africa,Mozambique,2019,Y,,Y,Y,"labour court",Y,,,,,"Articles 5 and 6 of Law No 18/1992 - Labour Tribunals Act."
Africa,Namibia,2019,Y,"No legal limits on the amount of compensation for unfair dismissal to be awarded by the arbitrator (see sec. 86(15) c) LA)",Y,Y,"labour court",Y,12,month(s),,70,"In addition to Labour Court: Arbitration tribunal and Labour commissioner<br/><br/>Sec. 85 LA establishes arbitration tribunals for the purpose of resolving disputes. Art 85(2) provides that Arbitration tribunals operate under the auspices of the Labour Commissioner, and have jurisdiction to <br/>(a) hear and determine any dispute or any other matter arising from the interpretation, implementation or application of this Act; and<br/>(b) make any order that they are empowered to make in terms of any provision of this Act.<br/><br/>Sec. 86(1) LA provides that unless a collective agreement provides for referral of disputes to private arbitration, any party to a dispute may refer the dispute in writing to<br/>(a) the Labour Commissioner; or <br/>(b) any labour office.<br/><br/>The Labour  Court will only be competent to hear appeals against an arbitrator&apos;s award  <br/>    * on any question of law alone;<br/>    * in the case of an award in a dispute initially referred to the labour Commissioner concerning the fundamental rights, on a question of fact, law or mixed fact and law (sec. 89 (1) LA).<br/>"
Africa,Niger,2019,Y,"Art. 91(2) and 92 LC: The amount of damages for unfair dismissal is fixed by the Court, in light of any circumstances establishing the existence and the extent of the harm incurred, including the local custom, the type and importance of the services rendered, the employee&apos;s seniority and age, any deductions or payments made to a retirement plan, and other established right.<br/><br/>Art. 475 Implementing Decree of August 2017: The amount of damages in case of unfair dismissal of a workers&apos; representative can reach 36 months of salary.",Y,Y,"labour court",N,,,,,"Art. 289 LC.<br/>"
Africa,Nigeria,2020,Y,"- Sec. 82(b) & 84(1) LA establish the power of courts to order compensation for any wrong or damage sustained through contravention of the Act or contract of employment.   <br/>- Remedies for unlawful termination (breach of contract) or wrongful dismissal without notice are limited to damages for the equivalent amount the employee would have been entitled to, had the contract not been unlawfully terminated. Therefore, in the event of unlawful termination, the employee is entitled to compensation equivalent to what the employee would have earned during the notice period.<br/>In the event of wrongful dismissal without notice (for gross misconduct), the damages awarded corresponds to the amount the worker would have earned if he or she had continued working under the employment contract until this contract was lawfully terminated.<br/>Nigerian law excludes damages for injured feelings (following the English case of Addis v. Gramophone Co. [1908] AC 488.)<br/>- Therefore in practice, compensation is limited to pay in lieu of notice. No additional damages. IS that free determination?<br/>Question, can the NIC depart from these rules and award additional compensation?<br/><br/>",Y,N,"labour court",Y,,,,,"Until the adoption of the National Industrial Court Act (2006), individual employment claims (including on wrongful terminations) were only handled by ordinary (magistrate’s) court. However the 2006 Act now confers jurisdiction to the National Industrial Court over individual employment disputes under Section 7."
Americas,Nicaragua,2019,N,,Y,Y,"labour court",Y,30,day(s),Y,,
Europe,Netherlands,2019,Y,"On compensation, see Art. 7:681 to 7:683 CC.<br/>In case of an unfair termination of a fixed term contract, a fixed compensation, equal to the amount of pay, the employee would have received if the contract would have been terminated in a regular way, can be requested, Art. 7:677 (4) CC. However, the court can decide to lower this sum with regards to the principle of reasonableness and fairness, but must at least grant 3 monthly wages<br/>An employee who has terminated an employment contract due to an u201curgent causeu201d(see above) provoked by the employer may also be entitled to a compensation, Art. 7:677 CC.<br/>",Y,N,"labour court",N,,,,,"No specialised court, ordinary courts have jurisdiction over labour disputes.<br/>"
Europe,Norway,2019,Y,"Art. 15-12(2) WEA states that employees may claim compensation if the dismissal is effected in violation of the provisions on protection against certain types of dismissal (including dismissal during the probationary period, unfair dismissal, dismissal in the event of sickness, dismissal during pregnancy .... (art. 15-6 to 15-11 WEA).<br/>Compensation shall be fixed at the amount the court deems reasonable in view of the financial loss, circumstances relating to the employer and employee and other facts of the case.",Y,N,"labour court",Y,,,,,"- Individual disputes (for instance dismissal and termination of employment) are handled by ordinary courts (alminnelige domstoler) according to Art 17-1 WEA, the Mediation and Civil Proceedings Act (No. 28 of 2012) and  the Courts of Justice Act (No. 5 of 1915). <br/><br/>- According to art. 17-4 WEA, the time period for claiming an unfair dismissal is eight weeks  from conclusion of the negotiation between the parties or from the date of the dismissal if no negotiations took place).<br/>- If an employee claims  compensation only, the time limit shall be six months. In individual cases, the parties may agree <br/>upon a longer time limit for initiating legal proceedings. If the dismissal does not meet the formal statutory requirements with regard to notice of dismissal, there is no time limit for such claims.<br/><br/>- In Norway, the National Labour Court&apos;s jurisdiction is essentially, confined to collective disputes of rights -- not to individual disputes. <br/>There are however, two exceptions: <br/>1)Individual workers (members of trade unions) and employers are liable in damages for breach of a collective agreement or of the peace obligation. Claims for indemnification in such cases lie within the Labour Court&apos;s jurisdiction (Sections 9 and 10 of the Labour Disputes Act);<br/>2)In addition, in a case concerning a collective agreement, the Labour Court may give a decision on individual claims being contingent on the decision given on the collective agreement issue at hand. Solely provided that this can be done without it being necessary to resolve further questions on evidence or legal problems in order to dispose of the individual claims. (Section 34 of the Labour Disputes Act (lov om arbeidstvister (arbeidstvistloven) )"
Asia,"New Zealand",2019,Y,"u2022There are no statutory limitations as to the amount of compensation to be awarded in the event of unfair dismissal.<br/>Sec. 123 ERA provides that if the Employment Authority or Court determines that a dismissal was unjustified, it may provide for any 1 or more of the following remedies: <br/>- reinstatement;<br/>- reimbursement of the whole or any part of the wages lost as a result of the dismissal;<br/>- compensation for humiliation, loss of dignity, and injury to the feelings of the employee; and loss of any benefit, whether or not of a monetary kind, which the employee might reasonably have been expected to have obtained had he or she not been dismissed.<br/><br/>Up-to-date figures for non-remuneration compensation are available at:   https://www.employment.govt.nz/about/employment-law/compensation-and-cost-award-tables/",Y,Y,"labour court",Y,,,,,"- The ERA gives exclusive jurisdiction to the Employment Relations Authority, an independent body, to make determination about personal grievances, which amongst other things include unfair dismissal claims (sec. 161(1)e) ERA). This provision removed the possibility for employees to pursue a claim for wrongful dismissal under civil law.<br/>- Either the employer or employee may challenge a determination of the Authority, within 28 days after the date of the determination, in the Employment Court. <br/>A challenge may relate to the whole of the determination (in which case, there will be a de novo hearing) or be restricted to some limited aspect of a determination (sec. 179 and 187 ERA)"
Americas,Panama,2018,N,"Art. 225 LC",Y,N,"labour court",Y,,,,,"Art. 218 LC: The Labour Tribunals and/or The Conciliation and Decision Boards (junta de conciliación y decisión,) have jurisdiction over claims of unfair dismissal.  The &quot;juntas de conciliación y decisión&quot; which are tripartite bodies and are integrated into the &quot;Jurisdiccion Laboral&quot;.<br/>"
Americas,Peru,2019,N,,Y,Y,"labour court",Y,,,,,"The New Labour Procedure Law [NLPL], establishes a hierarchy of courts to adjudicate labour disputes, consisting of the Magistrates Courts (Juzgados de Paz Letrados), the Labor Courts of First Instance (Juzgados de Trabajo), the Labour Branches of the High Court (Salas Laborales de la Corte Superior), and the Supreme Court (Corte Suprema). Dismissal cases are heard by the Labour Courts of First Instance (Juzgados de Trabajo).  The extinction of the working relationship is observed by Specialized Labour Court as indicated in art. 2 and 51 of the NLPL."
Asia,Philippines,2019,N,,Y,Y,"labour court",Y,20,day(s),Y,,"Regarding parties to a collective bargaining agreement, all grievances submitted to internal grievance machinery which are not settled within seven days from the date of its submission shall automatically referred to voluntary arbitration prescribed in the CBA (Art. 273).  For this purpose, parties to a CBA shall name and designate in advance a voluntary arbitrator or panel of voluntary arbitrators or include in the CBA a procedure for the selection of such voluntary arbitrator or panel of voluntary arbitrators, preferably from the listing of qualified voluntary arbitrators duly accredited by the National Conciliation and Mediation Board.  See also Art. 275: upon agreement of the parties, the designated voluntary arbitrator or panel of voluntary arbitrators shall also hear and decide all other labour disputes including unfair labour practices.  Voluntary arbitration awards, decisions or orders are subject to judicial review upon petition for review filed with the Court of Appeals within 15 calendar days from receipt of such awards, decisions or orders (Rule 43 of the Rules of Civil Procedure) <br/>The Labour Arbiters of the National Labour Relations Commission have original and exclusive jurisdiction over termination disputes (Art. 224 of LC).  The National Labour Relations Commission has exclusive appellate jurisdiction over all cases decided by Labour Arbiters (Art. 224(b) of LC).  Cases arising from the interpretation or implementation of CBAs and those arising from the interpretation or enforcement of company personnel policies shall be disposed of by the labour arbiter by referring the same to the grievance machinery and voluntary arbitration as may be provided in the said agreements (Art. 224(c)). According to Sale (2015), mostly non-unionized workers resort to compulsory arbitration by labour arbiters.  <br/>The DoLE Secretary and Regional Offices (enforcement offices/inspectorates) are charged with monitoring compliance with or enforcement of labour standards, including termination of employment requirements (Art. 128 of LC, sec. 1 of Rule IV of DO No. 131-B, Series of 2016.  When deficiencies detected by labour law compliance officers are not corrected, the hearing officer shall conduct mandatory marathon conferences during which parties may reach voluntary settlement, before the issuance of compliance orders (Rules XII and XIII of DO No. 131-B).  Cases related to termination of employment requirements include those arising from discrimination [Sale (2015)]    <br/>Regarding termination disputes in the public sector whether they arise from grievances, unfair labour practices, the Public Sector Labour Management Council takes appropriate action and has original and exclusive jurisdiction (sec. 16 of Executive Order No. 180)."
Europe,Portugal,2019,N,"Art. 391 and 392 LC.",Y,Y,"labour court",N,,,,,"The Labour courts have exclusive jurisdiction over dismissal cases (see Code of Labour Procedure and art. 387 LC).<br/><b>Any legal action challenging the regularity and the fairness of an individual dismissal shall be brought within 60 days of receipt of the dismissal decision or of the date of termination of the contract</b>. (<u>Note that under the 2003 LC, this timeframe was 1 year</u>). The Decree-Law 295/2009 of 13 October 2009 introduced in the Code of Labour Procedure, new proceedings of an urgent nature to be observed in the event of a legal action challenging an individual dismissal (art. 98-B to 98-P LC).<br/><br/>(Any action challenging collective dismissals must be lodged within 6 months of the date of termination of the contract: art. 388(2) LC)"
Americas,Paraguay,2019,N,,Y,Y,"labour court",Y,,,,,"Article 34 of Labour Procedure Code provides that The labor judges will be competent to handle: a) Contentious issues arising from the application of the Labor Code or the clauses of the individual contract or the apprenticeship contract, between workers or apprentices and employers; b) The controversies arisen between the pactantes subjects or adherents of a collective contract of conditions of work, with respect to the existence, interpretation or fulfillment of this one; c) The lawsuits on union recognition, promoted between an employer or employer organization and the unions of workers or between these exclusively, in order to celebrate a collective work contract; d) Any conflict between a Union and its affiliates derived from the breach of the bylaws or the collective contract of working conditions; and e) Disputes between workers, motivated by teamwork."
Europe,Romania,2019,Y,,Y,N,"labour court",N,10,day(s),Y,,"Based on Law No. 304/2004, specialised sections or panels for settling cases regarding labour disputes and social insurance were established at the tribunals and the courts of appeal.<br/>According to Art. 208 of the Law on Social Dialogue, individual labor disputes are resolved in the first instance by the tribunal."
Europe,"Russian Federation",2019,Y,"Article 394 of the Labour Code",Y,N,"labour court",N,,,,,"Article 391 of the Labour Court"
Africa,Rwanda,2019,N,"Art. 30 LL.",N,Y,"labour court",Y,,,,,
"Arab States","Saudi Arabia",2017,Y,"Art. 77 LL: &quot;If the contract is terminated for an invalid reason, the party who is harmed by such termination shall be entitled to indemnity to be assessed by the Commission for the Settlement of Labor Disputes, taking into account the termination circumstances and actual and potential material and moral damages sustained&quot;.",Y,Y,"labour court",Y,,,,,"Art. 77 LL & art. 210 to 228 LL on labour disputes settlement.<br/>The competent body is the Commission for the Settlement of Labour Disputes which is part of the judiciary. <br/>The Commission can only be seized after the amicable settlement before the labor office has failed.<br/>"
